id,year,week,player_name,player_name_normalized,stat_field,line,created_at
2,2026,1,Matthew Stafford,matthew stafford,pass_yds,264.5,2026-09-04 15:39:18.582943
62,2026,1,Matthew Stafford,matthew stafford,pass_cmp,22.5,2026-09-04 20:37:34.695026
74,2026,1,Matthew Stafford,matthew stafford,pass_att,34.5,2026-09-04 20:37:34.695026
160,2026,1,Matthew Stafford,matthew stafford,pass_rush_yds,266.5,2026-09-08 18:39:30.199837
49,2026,1,Max Klare,max klare,any_td,0.5,2026-09-04 20:37:34.695026
24,2026,1,Nico Collins,nico collins,rec_yds,69.5,2026-09-04 15:39:18.582943
14,2026,1,Omarion Hampton,omarion hampton,rush_yds,61.5,2026-09-04 15:39:18.582943
125,2026,1,Omarion Hampton,omarion hampton,any_td,0.5,2026-09-08 18:39:30.199837
44,2026,1,Puka Nacua,puka nacua,rec,7.5,2026-09-04 20:37:34.695026
15,2026,1,Puka Nacua,puka nacua,rec_yds,86.5,2026-09-04 15:39:18.582943
84,2026,1,Rashee Rice,rashee rice,rush_att,0.5,2026-09-04 20:37:34.695026
165,2026,1,Rashee Rice,rashee rice,rush_rec_yds,65.5,2026-09-08 18:39:30.199837
8,2026,1,Saquon Barkley,saquon barkley,rush_yds,75.5,2026-09-04 15:39:18.582943
79,2026,1,Sione Vaki,sione vaki,rush_att,0.5,2026-09-04 20:37:34.695026
52,2026,1,Travis Homer,travis homer,any_td,0.5,2026-09-04 20:37:34.695026
118,2026,1,Trey McBride,trey mcbride,rec,6.5,2026-09-08 18:39:30.199837
68,2026,1,Tua Tagovailoa,tua tagovailoa,pass_int,0.5,2026-09-04 20:37:34.695026
119,2026,1,Tyler Allgeier,tyler allgeier,rec,1.5,2026-09-08 18:39:30.199837
91,2026,1,Tyler Allgeier,tyler allgeier,rush_rec_yds,44.5,2026-09-04 20:37:34.695026
83,2026,1,Tyler Allgeier,tyler allgeier,rush_att,8.5,2026-09-04 20:37:34.695026
17,2026,1,Tyler Allgeier,tyler allgeier,rec_yds,8.5,2026-09-04 15:39:18.582943
89,2026,1,Tyler Shough,tyler shough,pass_rush_yds,263.5,2026-09-04 20:37:34.695026
75,2026,1,Tyler Shough,tyler shough,pass_att,31.5,2026-09-04 20:37:34.695026
29,2026,1,Tyler Shough,tyler shough,pass_yds,243.5,2026-09-04 20:37:34.695026
65,2026,1,Tyler Shough,tyler shough,pass_cmp,21.5,2026-09-04 20:37:34.695026
