book,player_name,team,category,line,side,odds,implied_prob,model_prob,ev_pct,hist_rate,weighted_rate,last3_rate,market_prob,market_source,avg_targets,avg_carries,last_snap_pct,team_changed,team_pass_att_pg,players_with_catch_pg,home_team,roof,forecast_wind_mph,forecast_temp_f,condition,weather_note,bad_passing_weather,weather_lean
caesars,Tyquan Thornton,kan,receptions,1.5,Over,141,0.415,0.365,-12.0,6/15,0.351,2/3,0.379,6 other book(s),2.5,0.0,68.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
caesars,Cam Skattebo,nyg,receptions,1.5,Under,116,0.463,0.405,-12.5,2/9,0.371,2/3,0.433,3 other book(s),3.6,13.2,60.9,False,30.7,6.2,lar,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Tyquan Thornton,kan,receptions,1.5,Over,137,0.422,0.365,-13.4,6/15,0.351,2/3,0.379,6 other book(s),2.5,0.0,68.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
draftkings,Cam Skattebo,nyg,receptions,1.5,Under,112,0.472,0.405,-14.1,2/9,0.371,2/3,0.433,3 other book(s),3.6,13.2,60.9,False,30.7,6.2,lar,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Chris Bell,mia,receptions,1.5,Over,-131,0.567,0.477,-15.9,0/1,0.0,0/1,0.556,2 other book(s),2.0,0.0,51.8,False,28.3,7.0,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
draftkings,Demarcus Robinson,sfo,receptions,1.5,Under,122,0.45,0.37,-17.9,6/14,0.315,0/3,0.422,5 other book(s),2.4,0.1,63.1,False,34.2,7.3,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
draftkings,Rachaad White,was,receptions,1.5,Under,152,0.397,0.326,-17.9,4/16,0.261,0/3,0.39,3 other book(s),2.8,8.1,41.4,True,28.3,7.1,dal,dome,,,Slight Chance Thunderstorms,dome: pass yds +7,False,
caesars,Demarcus Robinson,sfo,receptions,1.5,Under,121,0.452,0.371,-17.9,6/14,0.315,0/3,0.425,5 other book(s),2.4,0.1,63.1,False,34.2,7.3,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
draftkings,Oronde Gadsden,lac,receptions,1.5,Under,-116,0.537,0.439,-18.3,4/14,0.364,1/3,0.51,5 other book(s),4.5,0.0,18.2,False,32.5,6.8,lac,dome,,,Mostly Cloudy,dome: pass yds +7,False,
caesars,Chris Bell,mia,receptions,1.5,Over,-139,0.582,0.472,-18.8,0/1,0.0,0/1,0.551,2 other book(s),2.0,0.0,51.8,False,28.3,7.0,sfo,outdoor,5.0,70.0,Mostly Cloudy,,False,
caesars,Jadarian Price,sea,receptions,1.5,Under,-114,0.533,0.429,-19.5,0/1,0.0,0/1,0.5,4 other book(s),2.0,10.0,48.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Jadarian Price,sea,receptions,1.5,Under,-114,0.533,0.429,-19.5,0/1,0.0,0/1,0.5,4 other book(s),2.0,10.0,48.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
caesars,Oronde Gadsden,lac,receptions,1.5,Under,-128,0.561,0.438,-22.0,4/14,0.364,1/3,0.509,5 other book(s),4.5,0.0,18.2,False,32.5,6.8,lac,dome,,,Mostly Cloudy,dome: pass yds +7,False,
caesars,Noah Gray,kan,receptions,1.5,Over,150,0.4,0.304,-24.1,5/16,0.222,0/3,0.384,6 other book(s),2.1,0.0,55.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
draftkings,Rashid Shaheed,sea,receptions,1.5,Over,-186,0.65,0.488,-25.0,10/16,0.394,0/3,0.581,1 other book(s),5.0,0.6,66.0,False,28.2,6.2,ari,dome,,,Partly Cloudy,dome: pass yds +7,False,
draftkings,Adam Trautman,den,receptions,1.5,Under,-207,0.674,0.494,-26.8,8/16,0.338,0/3,0.646,6 other book(s),1.6,0.0,37.3,False,36.4,8.4,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
draftkings,Noah Gray,kan,receptions,1.5,Over,143,0.412,0.301,-26.9,5/16,0.222,0/3,0.379,6 other book(s),2.1,0.0,55.1,False,34.1,7.3,kan,outdoor,5.0,75.0,Likely Rain Showers,,False,
draftkings,John Bates,was,receptions,1.5,Over,-157,0.611,0.435,-28.8,3/15,0.287,1/3,0.578,4 other book(s),1.1,0.0,48.6,False,28.3,7.1,dal,dome,,,Slight Chance Thunderstorms,dome: pass yds +7,False,
caesars,Adam Trautman,den,receptions,1.5,Under,-225,0.692,0.491,-29.1,8/16,0.338,0/3,0.641,6 other book(s),1.6,0.0,37.3,False,36.4,8.4,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
caesars,John Bates,was,receptions,1.5,Over,-162,0.618,0.434,-29.7,3/15,0.287,1/3,0.577,4 other book(s),1.1,0.0,48.6,False,28.3,7.1,dal,dome,,,Slight Chance Thunderstorms,dome: pass yds +7,False,
caesars,Bhayshul Tuten,jax,receptions,1.5,Over,-106,0.515,0.279,-45.7,2/15,0.054,0/3,0.498,5 other book(s),1.0,6.2,49.1,False,32.6,7.5,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
draftkings,Bhayshul Tuten,jax,receptions,1.5,Over,-112,0.528,0.271,-48.7,2/15,0.054,0/3,0.482,5 other book(s),1.0,6.2,49.1,False,32.6,7.5,den,outdoor,7.0,70.0,Chance Thunderstorms,,False,
