player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits,p_middle_hits,expected_value,note,market_mean,historical_std,historical_games
Isaiah Likely,receiving-yards,nyg,prizepicks,33.5,-137,fanatics,40.5,-120.0,7.0,5,51.45,48.55,-10.99,78.01,0.1039,-1.74,,36.7,26.79,57.0
Dak Prescott,passing-yards,dal,bet365,254.5,-110,draftkings,261.5,-113.0,7.0,9,49.68,50.32,-5.15,89.69,0.0347,-1.86,,259.06,80.54,133.0
C.J. Stroud,passing-yards,hou,fanatics,215.5,-115,caesars,222.5,-114.0,7.0,9,50.1,49.9,-6.33,87.34,0.0356,-2.99,,219.94,78.3,42.0
Daniel Jones,passing-yards,ind,bet365,226.5,-110,fanduel,233.5,-114.0,7.0,9,49.58,50.42,-5.35,89.3,0.0376,-1.79,,230.83,74.21,81.0
Aaron Rodgers,passing-yards,pit,fanatics,210.5,-115,riverscasino,217.5,-114.0,7.0,8,50.1,49.9,-6.33,87.34,0.0354,-3.02,,213.62,78.91,215.0
Rico Dowdle,rushing-and-receiving-yards,pit,fanatics,60.5,-125,draftkings,67.5,-115.0,7.0,8,50.95,49.05,-8.29,83.41,0.0523,-3.5,,65.12,53.38,65.0
Trevor Lawrence,passing-yards,jax,bet365,231.5,-110,fanduel,238.5,-114.0,7.0,9,49.58,50.42,-5.35,89.3,0.0433,-1.26,,234.17,64.52,71.0
Patrick Mahomes,passing-yards,kan,sleeper,225.5,-128,bet365,232.5,-110.0,7.0,9,51.73,48.27,-7.85,84.3,0.0373,-4.42,,227.39,74.91,122.0
Travis Etienne,rushing-yards,nor,fanatics,50.5,-120,fanduel,56.5,-114.0,6.0,9,50.59,49.41,-7.25,85.5,0.0714,-0.63,,54.39,33.47,61.0
De'Von Achane,rushing-yards,mia,bet365,64.5,-110,underdog,70.5,-137.0,6.0,8,47.54,52.46,-9.25,81.51,0.0507,-4.65,,68.5,47.15,42.0
Deshaun Watson,passing-yards,cle,riverscasino,172.5,-117,underdog,178.5,-137.0,6.0,9,48.26,51.74,-10.49,79.01,0.0287,-7.92,,176.61,83.35,70.0
Matthew Stafford,passing-yards,,bet365,260.5,-110,prizepicks,266.5,-137.0,6.0,9,47.54,52.46,-9.25,81.51,0.034,-6.16,,264.83,70.36,222.0
Omarion Hampton,rushing-yards,lac,caesars,61.5,-113,underdog,67.5,-137.0,6.0,8,47.86,52.14,-9.79,80.41,0.0761,-2.92,,65.0,31.4,8.0
Kyler Murray,passing-and-rushing-yards,min,fanduel,246.5,-114,bet365,252.5,-115.0,6.0,6,49.9,50.1,-6.33,87.34,0.0324,-3.3,,249.33,73.88,82.0
Lamar Jackson,passing-and-rushing-yards,bal,bet365,255.5,-115,riverscasino,261.5,-115.0,6.0,6,50.0,50.0,-6.52,86.96,0.0243,-4.24,,258.67,98.34,113.0
David Montgomery,rushing-and-receiving-yards,hou,riverscasino,63.5,-118,bet365,69.5,-115.0,6.0,7,50.3,49.7,-7.08,85.84,0.0696,-0.61,,65.5,34.33,98.0
Chase Brown,rushing-yards,cin,fanatics,55.5,-125,underdog,61.5,-137.0,6.0,9,49.01,50.99,-11.79,76.43,0.0691,-5.69,,58.94,34.57,43.0
Joe Burrow,passing-yards,cin,fanatics,265.5,-115,riverscasino,271.5,-114.0,6.0,9,50.1,49.9,-6.33,87.34,0.0272,-3.78,,268.61,87.94,73.0
Jaylen Warren,rushing-and-receiving-yards,pit,fanatics,55.5,-130,draftkings,61.5,-115.0,6.0,8,51.38,48.62,-9.1,81.8,0.0653,-3.17,,57.88,36.63,59.0
KC Concepcion,receiving-yards,cle,caesars,29.5,-115,fanatics,35.5,-125.0,6.0,8,49.05,50.95,-8.29,83.41,,,"insufficient history (0 games, need 6+)",,,
Drake London,receiving-yards,atl,draftkings,59.5,-113,underdog,65.5,-137.0,6.0,8,47.86,52.14,-9.79,80.41,0.0605,-4.33,,63.12,39.52,57.0
Jaylen Warren,rushing-yards,pit,bet365,35.5,-110,draftkings,41.5,-110.0,6.0,8,50.0,50.0,-4.55,90.91,0.0758,2.68,,38.12,31.53,59.0
De'Von Achane,rushing-and-receiving-yards,mia,fanatics,100.5,-120,draftkings,106.5,-111.0,6.0,9,50.9,49.1,-6.67,86.65,0.0449,-2.48,,103.06,53.23,42.0
David Montgomery,rushing-yards,hou,fanatics,50.5,-125,underdog,56.5,-137.0,6.0,9,49.01,50.99,-11.79,76.43,0.074,-5.26,,54.06,32.31,98.0
Jaxson Dart,passing-yards,nyg,draftkings,213.5,-112,prizepicks,219.5,-137.0,6.0,8,47.75,52.25,-9.61,80.77,0.0254,-7.31,,215.88,94.23,13.0
Khalil Shakir,receiving-yards,buf,bet365,33.5,-110,riverscasino,39.5,-114.0,6.0,9,49.58,50.42,-5.35,89.3,0.0738,1.64,,36.94,32.37,60.0
Christian Watson,longest-reception,gnb,hardrock,19.5,-115,bet365,24.5,-115.0,5.0,5,50.0,50.0,-6.52,86.96,,,no stat_field mapping for category 'longest-reception',,,
DK Metcalf,receiving-yards,pit,bet365,45.5,-110,prizepicks,50.5,-137.0,5.0,8,47.54,52.46,-9.25,81.51,0.0562,-4.15,,47.25,35.44,105.0
Bucky Irving,rushing-and-receiving-yards,tam,riverscasino,71.5,-113,draftkings,76.5,-114.0,5.0,8,49.9,50.1,-5.95,88.11,0.0428,-1.93,,74.0,46.6,25.0
Bijan Robinson,rushing-yards,atl,draftkings,73.5,-111,fanduel,78.5,-114.0,5.0,8,49.69,50.31,-5.55,88.9,0.0498,-0.84,,76.12,40.01,48.0
Amon-Ra St. Brown,receiving-yards,det,bet365,75.5,-135,riverscasino,80.5,-113.0,5.0,9,51.99,48.01,-9.5,81.0,0.0487,-5.09,,78.06,40.91,76.0
Cam Ward,passing-yards,ten,fanduel,201.5,-114,draftkings,206.5,-112.0,5.0,7,50.21,49.79,-5.75,88.5,0.0349,-2.46,,204.93,57.06,16.0
