player_name,category,team,low_book,low_line,low_over_odds,high_book,high_line,high_under_odds,middle_width,books_compared,stake_over,stake_under,loss_if_miss,profit_if_middle_hits,market_mean,historical_std,historical_games,p_middle_hits,expected_value,note
Dak Prescott,passing-yards,dal,fanatics,255.5,-120,draftkings,261.5,-113.0,6.0,6,50.69,49.31,-7.06,85.88,259.06,80.54,133.0,0.0297,-4.3,
Caleb Williams,passing-yards,chi,fanatics,225.5,-115,caesars,231.5,-113.0,6.0,6,50.2,49.8,-6.14,87.72,229.83,69.97,32.0,0.0342,-2.93,
Deshaun Watson,passing-yards,cle,riverscasino,172.5,-117,fanduel,178.5,-114.0,6.0,6,50.3,49.7,-6.71,86.59,176.61,83.35,70.0,0.0287,-4.03,
De'Von Achane,rushing-and-receiving-yards,mia,fanatics,100.5,-120,draftkings,106.5,-111.0,6.0,6,50.9,49.1,-6.67,86.65,103.06,53.23,42.0,0.0449,-2.48,
Jaylen Warren,rushing-and-receiving-yards,pit,fanatics,55.5,-130,draftkings,61.5,-115.0,6.0,5,51.38,48.62,-9.1,81.8,57.88,36.63,59.0,0.0653,-3.17,
Amon-Ra St. Brown,receiving-yards,det,fanatics,75.5,-115,riverscasino,80.5,-113.0,5.0,6,50.2,49.8,-6.14,87.72,78.06,40.91,76.0,0.0487,-1.57,
Bijan Robinson,rushing-yards,atl,draftkings,73.5,-111,fanduel,78.5,-114.0,5.0,5,49.69,50.31,-5.55,88.9,76.12,40.01,48.0,0.0498,-0.84,
DeMario Douglas,receiving-yards,nwe,fanatics,15.5,-135,riverscasino,20.5,-118.0,5.0,6,51.49,48.51,-10.37,79.25,18.39,25.93,45.0,0.0768,-3.49,
De'Von Achane,rushing-yards,mia,fanatics,65.5,-135,sleeper,70.5,-130.0,5.0,5,50.41,49.59,-12.26,75.49,68.5,47.15,42.0,0.0423,-8.55,
Chase Brown,rushing-yards,cin,fanatics,55.5,-125,riverscasino,60.5,-115.0,5.0,6,50.95,49.05,-8.29,83.41,58.94,34.57,43.0,0.0576,-3.01,
Dalton Schultz,receiving-yards,hou,fanatics,30.5,-135,caesars,35.5,-113.0,5.0,6,51.99,48.01,-9.5,81.0,33.06,27.6,116.0,0.0722,-2.97,
Bucky Irving,rushing-and-receiving-yards,tam,riverscasino,71.5,-113,draftkings,76.5,-114.0,5.0,5,49.9,50.1,-5.95,88.11,74.0,46.6,25.0,0.0428,-1.93,
Cam Ward,passing-yards,ten,fanduel,201.5,-114,draftkings,206.5,-112.0,5.0,4,50.21,49.79,-5.75,88.5,204.93,57.06,16.0,0.0349,-2.46,
James Cook,rushing-yards,buf,fanatics,70.5,-125,draftkings,75.5,-112.0,5.0,6,51.26,48.74,-7.74,84.53,73.83,45.13,62.0,0.0442,-3.66,
Jameson Williams,receiving-yards,det,fanatics,55.5,-125,riverscasino,60.5,-115.0,5.0,6,50.95,49.05,-8.29,83.41,58.06,43.13,46.0,0.0462,-4.05,
Drake London,receiving-yards,atl,draftkings,59.5,-113,riverscasino,64.5,-114.0,5.0,5,49.9,50.1,-5.95,88.11,63.12,39.52,57.0,0.0504,-1.21,
Ja'Marr Chase,receiving-yards,cin,caesars,85.5,-117,draftkings,90.5,-114.0,5.0,6,50.3,49.7,-6.71,86.59,87.28,50.7,72.0,0.0393,-3.04,
Kenneth Walker,rushing-yards,kan,fanduel,59.5,-114,draftkings,64.5,-114.0,5.0,6,50.0,50.0,-6.14,87.72,,,,,,"insufficient history (0 games, need 6+)"
Mark Andrews,receiving-yards,bal,fanatics,30.5,-135,riverscasino,35.5,-112.0,5.0,6,52.09,47.91,-9.32,81.36,33.17,31.57,114.0,0.0631,-3.6,
Omarion Hampton,rushing-yards,lac,caesars,61.5,-113,draftkings,66.5,-111.0,5.0,5,50.21,49.79,-5.36,89.29,65.0,31.4,8.0,0.0634,0.64,
Rhamondre Stevenson,rushing-yards,nwe,riverscasino,40.5,-114,fanatics,45.5,-125.0,5.0,6,48.95,51.05,-8.11,83.78,43.39,33.87,65.0,0.0588,-2.7,
Saquon Barkley,rushing-and-receiving-yards,phi,riverscasino,94.5,-113,draftkings,99.5,-111.0,5.0,6,50.21,49.79,-5.36,89.29,97.5,51.42,102.0,0.0388,-1.69,
Terry McLaurin,receiving-yards,was,draftkings,47.5,-115,fanduel,52.5,-114.0,5.0,6,50.1,49.9,-6.33,87.34,51.06,33.99,99.0,0.0586,-0.84,
