player_name,stat_field,line,category_original,team,opponent,home_away,over_odds,over_book,under_odds,under_book,moneyline_odds,moneyline_book,site_projection,projection_diff
Kenneth Walker,any_td,0.5,touchdowns,kan,mia,a,,,,,-210,fanatics,0.665,-260.38
Christian McCaffrey,any_td,0.5,touchdowns,sfo,ari,h,,,,,-220,fanatics,0.627,-279.49
Jonathan Taylor,any_td,0.5,touchdowns,ind,hou,h,,,,,-160,fanatics,0.564,-237.3
David Montgomery,any_td,0.5,touchdowns,hou,ind,a,,,,,-115,fanatics,0.54,-200.19
Jared Goff,pass_td,1.5,passing-tds,det,nyj,h,-230,bet365,+175,bet365,,,2.0,0.5
Patrick Mahomes,pass_td,1.5,passing-tds,kan,mia,a,-185,bet365,+145,bet365,,,1.9,0.4
Dak Prescott,pass_td,1.5,passing-tds,dal,bal,h,-144,fanduel,+135,draftkings,,,1.9,0.4
Lamar Jackson,pass_td,1.5,passing-tds,bal,dal,a,-120,bet365,+124,draftkings,,,1.6,0.1
Josh Allen,pass_td,1.5,passing-tds,buf,lac,h,-146,fanduel,+120,caesars,,,1.9,0.4
Brock Purdy,pass_td,1.5,passing-tds,sfo,ari,h,-140,bet365,+110,bet365,,,2.0,0.5
Dak Prescott,pass_cmp,25.5,completions,dal,bal,h,-108,fanduel,-108,draftkings,,,22.7,-2.8
Jared Goff,pass_cmp,24.5,completions,det,nyj,h,-115,bet365,-115,bet365,,,23.4,-1.1
Joe Burrow,pass_cmp,23.5,completions,cin,pit,a,-110,bet365,-120,bet365,,,23.1,-0.4
Jacoby Brissett,pass_cmp,21.5,completions,ari,sfo,a,-130,bet365,even,bet365,,,21.5,0.0
Aaron Rodgers,pass_cmp,21.5,completions,pit,cin,h,-125,bet365,-105,bet365,,,20.8,-0.7
Brock Purdy,pass_cmp,21.5,completions,sfo,ari,h,-115,bet365,-115,bet365,,,20.0,-1.5
Bo Nix,pass_int,0.5,interceptions,den,lar,h,-136,fanduel,+104,riverscasino,,,0.63,0.13
Marcus Mariota,pass_int,0.5,interceptions,was,sea,h,-125,bet365,-105,bet365,,,0.83,0.33
Justin Herbert,pass_int,0.5,interceptions,lac,buf,a,-112,fanduel,-105,riverscasino,,,0.51,0.01
Michael Penix,pass_int,0.5,interceptions,atl,gnb,a,+106,fanduel,-104,draftkings,,,0.52,0.02
Dak Prescott,pass_int,0.5,interceptions,dal,bal,h,-120,bet365,-109,riverscasino,,,0.67,0.17
Baker Mayfield,pass_int,0.5,interceptions,tam,min,h,-120,bet365,-110,bet365,,,0.59,0.09
Dak Prescott,pass_att,36.5,pass-attempts,dal,bal,h,-110,bet365,-122,draftkings,,,34.3,-3.2
Aaron Rodgers,pass_att,35.5,pass-attempts,pit,cin,h,-115,bet365,-115,bet365,,,35.0,-0.5
Joe Burrow,pass_att,34.5,pass-attempts,cin,pit,a,-120,bet365,-110,bet365,,,35.5,1.0
Jared Goff,pass_att,34.5,pass-attempts,det,nyj,h,-115,bet365,-115,bet365,,,34.4,-0.1
Bo Nix,pass_att,33.5,pass-attempts,den,lar,h,-118,fanduel,-112,fanduel,,,34.1,0.6
Jacoby Brissett,pass_att,33.5,pass-attempts,ari,sfo,a,-115,bet365,-115,bet365,,,34.4,0.9
Jahmyr Gibbs,rush_att,18.5,rush-attempts,det,nyj,h,-125,bet365,-105,bet365,,,21.0,2.5
Aaron Jones,rush_att,18.5,rush-attempts,min,tam,a,-120,bet365,-110,bet365,,,18.5,0.0
Bijan Robinson,rush_att,17.5,rush-attempts,atl,gnb,a,-125,bet365,+101,draftkings,,,18.5,1.0
Derrick Henry,rush_att,17.5,rush-attempts,bal,dal,a,-120,bet365,-130,fanduel,,,19.3,1.8
James Cook,rush_att,17.5,rush-attempts,buf,lac,h,-111,caesars,-108,draftkings,,,17.5,0.0
Chase Brown,rush_att,15.5,rush-attempts,cin,pit,a,-115,bet365,-115,bet365,,,17.5,2.0
Dak Prescott,pass_rush_yds,279.5,passing-and-rushing-yards,dal,bal,h,-114,fanduel,-114,riverscasino,,,276.0,-9.5
Lamar Jackson,pass_rush_yds,273.5,passing-and-rushing-yards,bal,dal,a,-115,bet365,-114,draftkings,,,250.0,-34.5
Josh Allen,pass_rush_yds,273.5,passing-and-rushing-yards,buf,lac,h,-114,riverscasino,-114,fanduel,,,273.0,-0.5
Jared Goff,pass_rush_yds,269.5,passing-and-rushing-yards,det,nyj,h,-115,bet365,-115,bet365,,,268.0,-1.5
Brock Purdy,pass_rush_yds,263.5,passing-and-rushing-yards,sfo,ari,h,-115,bet365,-115,bet365,,,267.0,3.5
Joe Burrow,pass_rush_yds,260.5,passing-and-rushing-yards,cin,pit,a,-115,bet365,-115,bet365,,,253.0,-7.5
Bijan Robinson,rush_rec_yds,119.5,rushing-and-receiving-yards,atl,gnb,a,-115,bet365,-114,riverscasino,,,128.0,5.5
Jahmyr Gibbs,rush_rec_yds,121.5,rushing-and-receiving-yards,det,nyj,h,-115,bet365,-115,bet365,,,131.0,9.5
Derrick Henry,rush_rec_yds,102.5,rushing-and-receiving-yards,bal,dal,a,-115,bet365,-115,bet365,,,105.0,2.5
Christian McCaffrey,rush_rec_yds,101.5,rushing-and-receiving-yards,sfo,ari,h,-115,bet365,-115,bet365,,,98.0,-3.5
Ashton Jeanty,rush_rec_yds,100.5,rushing-and-receiving-yards,lvr,nor,a,-115,bet365,-115,bet365,,,108.0,7.5
Aaron Jones,rush_rec_yds,94.5,rushing-and-receiving-yards,min,tam,a,-115,bet365,-115,bet365,,,92.0,-2.5
