player_name,stat_field,line,category_original,team,opponent,home_away,over_odds,over_book,under_odds,under_book,moneyline_odds,moneyline_book,site_projection,projection_diff
Dak Prescott,pass_yds,260.5,passing-yards,dal,bal,h,-115,fanatics,-113,draftkings,,,267.0,-2.5
Jared Goff,pass_yds,266.5,passing-yards,det,nyj,h,-115,bet365,-115,bet365,,,267.0,0.5
Joe Burrow,pass_yds,251.5,passing-yards,cin,pit,a,-115,bet365,-115,bet365,,,245.0,-6.5
Matthew Stafford,pass_yds,240.5,passing-yards,lar,den,a,-120,fanatics,-115,bet365,,,250.0,1.5
Brock Purdy,pass_yds,242.5,passing-yards,sfo,ari,h,-115,bet365,-115,bet365,,,250.0,7.5
Josh Allen,pass_yds,235.5,passing-yards,buf,lac,h,-115,fanatics,-114,draftkings,,,240.0,-2.5
Derrick Henry,rush_yds,86.5,rushing-yards,bal,dal,a,-113,draftkings,-114,fanduel,,,93.0,6.5
James Cook,rush_yds,80.5,rushing-yards,buf,lac,h,-118,riverscasino,-114,draftkings,,,84.0,1.5
Jahmyr Gibbs,rush_yds,80.5,rushing-yards,det,nyj,h,-115,bet365,-115,bet365,,,97.0,16.5
Bijan Robinson,rush_yds,75.5,rushing-yards,atl,gnb,a,-115,bet365,-115,betmgm,,,87.0,9.5
Aaron Jones,rush_yds,71.5,rushing-yards,min,tam,a,-115,bet365,-115,bet365,,,80.0,8.5
D'Andre Swift,rush_yds,65.5,rushing-yards,chi,phi,h,-115,bet365,-115,bet365,,,64.0,-1.5
Jaxon Smith-Njigba,rec_yds,90.5,receiving-yards,sea,was,a,-115,bet365,-115,bet365,,,91.0,0.5
CeeDee Lamb,rec_yds,81.5,receiving-yards,dal,bal,h,-115,bet365,-117,riverscasino,,,85.0,0.5
Ja'Marr Chase,rec_yds,77.5,receiving-yards,cin,pit,a,-115,bet365,-115,bet365,,,72.0,-5.5
Amon-Ra St. Brown,rec_yds,77.5,receiving-yards,det,nyj,h,-115,bet365,-115,bet365,,,86.0,8.5
Justin Jefferson,rec_yds,73.5,receiving-yards,min,tam,a,-115,bet365,-115,bet365,,,75.0,1.5
DeVonta Smith,rec_yds,73.5,receiving-yards,phi,chi,a,-115,bet365,-115,bet365,,,69.0,-4.5
Amon-Ra St. Brown,rec,7.5,receptions,det,nyj,h,+110,bet365,-140,bet365,,,7.6,0.1
Trey McBride,rec,6.5,receptions,ari,sfo,a,-135,bet365,+105,bet365,,,7.2,0.7
CeeDee Lamb,rec,6.5,receptions,dal,bal,h,-129,draftkings,-165,fanatics,,,6.3,-0.2
Ja'Marr Chase,rec,6.5,receptions,cin,pit,a,-115,bet365,-115,bet365,,,6.3,-0.2
Justin Jefferson,rec,6.5,receptions,min,tam,a,+122,bet365,-155,bet365,,,5.8,-0.7
DeVonta Smith,rec,5.5,receptions,phi,chi,a,-110,bet365,-120,bet365,,,5.0,-0.5
Jahmyr Gibbs,any_td,0.5,touchdowns,det,nyj,h,,,,,-215,fanatics,0.698,-258.27
Derrick Henry,any_td,0.5,touchdowns,bal,dal,a,,,,,-195,fanatics,0.689,-240.14
