player,category,over_book,over_line,over_odds,under_book,under_line,under_odds,width,p_middle,ev_pct_per_leg,ev_over_leg,ev_under_leg
Patrick Mahomes,passing-yards,caesars,217.5,-114,draftkings,219.5,-112,2.0,0.012,-4.57,-4.97,-4.18
Bo Nix,passing-yards,caesars,220.5,-114,draftkings,222.5,-112,2.0,0.012,-4.57,-6.14,-3.0
Kyle Monangai,rushing-yards,draftkings,37.5,-113,caesars,38.5,-115,1.0,0.016,-4.61,-5.36,-3.86
Brock Purdy,passing-yards,caesars,237.5,-114,draftkings,239.5,-112,2.0,0.012,-4.61,-6.14,-3.07
David Montgomery,rushing-yards,caesars,66.5,-113,draftkings,67.5,-113,1.0,0.012,-4.63,-6.3,-2.96
Christian Watson,receptions,draftkings,3.5,-166,caesars,4.5,-170,1.0,0.195,-4.69,-4.79,-4.6
Josh Downs,receiving-yards,draftkings,36.5,-114,caesars,37.5,-114,1.0,0.015,-4.71,-5.74,-3.68
Kenneth Walker,rushing-yards,draftkings,78.5,-112,caesars,79.5,-114,1.0,0.011,-4.73,-3.31,-6.14
Geno Smith,passing-yards,caesars,207.5,-113,draftkings,208.5,-111,1.0,0.006,-4.75,-5.95,-3.55
Parker Washington,receiving-yards,caesars,52.5,-115,draftkings,53.5,-112,1.0,0.012,-4.78,-6.14,-3.42
Nico Collins,receiving-yards,draftkings,69.5,-113,caesars,70.5,-113,1.0,0.01,-4.78,-4.09,-5.47
De'Von Achane,receptions,draftkings,3.5,-157,caesars,4.5,-182,1.0,0.194,-4.82,-0.47,-9.17
Chris Olave,receptions,draftkings,5.5,-149,caesars,6.5,-164,1.0,0.16,-4.84,-4.45,-5.23
Jonathan Taylor,receiving-yards,draftkings,16.5,-115,caesars,17.5,-118,1.0,0.024,-4.85,-4.05,-5.66
Javonte Williams,rushing-and-receiving-yards,caesars,89.5,-115,draftkings,90.5,-111,1.0,0.009,-4.86,-6.52,-3.2
Jordan Addison,receiving-yards,caesars,35.5,-114,draftkings,36.5,-115,1.0,0.015,-4.88,-5.19,-4.58
Mack Hollins,receiving-yards,draftkings,36.5,-112,caesars,37.5,-117,1.0,0.015,-4.9,-3.29,-6.51
Malik Nabers,receiving-yards,draftkings,63.5,-112,caesars,64.5,-115,1.0,0.011,-4.91,-2.48,-7.34
Drew Lock,passing-yards,draftkings,204.5,-111,caesars,205.5,-114,1.0,0.006,-4.94,-4.55,-5.34
Saquon Barkley,rushing-yards,draftkings,77.5,-114,caesars,78.5,-113,1.0,0.011,-4.94,-2.09,-7.79
Jacoby Brissett,passing-tds,caesars,0.5,-245,draftkings,1.5,-264,1.0,0.364,-4.95,-3.84,-6.06
Bryce Young,passing-yards,draftkings,218.5,-113,caesars,220.5,-115,2.0,0.012,-4.97,-4.58,-5.36
D'Andre Swift,rushing-yards,draftkings,59.5,-115,caesars,60.5,-113,1.0,0.013,-4.97,-3.99,-5.95
Jayden Daniels,rushing-yards,caesars,37.5,-117,draftkings,38.5,-113,1.0,0.016,-4.98,-6.6,-3.35
Dalton Kincaid,receptions,draftkings,3.5,-164,caesars,4.5,-175,1.0,0.195,-4.98,-5.21,-4.74
Derrick Henry,rushing-yards,draftkings,88.5,-113,caesars,89.5,-114,1.0,0.01,-4.99,-5.55,-4.43
Jeremiyah Love,receiving-yards,caesars,14.5,-117,draftkings,15.5,-118,1.0,0.026,-5.02,-7.26,-2.79
Trey McBride,receiving-yards,draftkings,59.5,-113,caesars,60.5,-115,1.0,0.011,-5.07,-3.62,-6.52
Drake Maye,rushing-yards,caesars,24.5,-120,draftkings,25.5,-113,1.0,0.021,-5.1,-8.33,-1.87
Jahmyr Gibbs,rushing-yards,draftkings,88.5,-111,caesars,89.5,-117,1.0,0.01,-5.14,-2.18,-8.11
Omarion Hampton,rushing-yards,draftkings,64.5,-112,caesars,65.5,-117,1.0,0.012,-5.18,-4.05,-6.32
Jordan Love,passing-yards,draftkings,251.5,-112,caesars,252.5,-114,1.0,0.006,-5.19,-4.8,-5.59
Kenneth Walker,rushing-and-receiving-yards,draftkings,102.5,-113,caesars,103.5,-115,1.0,0.009,-5.34,-5.75,-4.92
Joe Burrow,passing-yards,draftkings,248.5,-112,caesars,249.5,-115,1.0,0.006,-5.38,-5.03,-5.73
Devaughn Vele,receiving-yards,draftkings,41.5,-114,caesars,42.5,-117,1.0,0.014,-5.39,-4.97,-5.8
Justin Jefferson,receptions,draftkings,5.5,-148,caesars,6.5,-170,1.0,0.161,-5.39,-6.41,-4.37
Amon-Ra St. Brown,receiving-yards,caesars,80.5,-117,draftkings,81.5,-112,1.0,0.01,-5.42,-6.51,-4.32
