player_name,category,team,book,line,consensus_mean,other_books_count,diff,diff_pct,direction
Jayden Daniels,passing-tds,was,hardrock,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Jayden Daniels,passing-tds,was,draftkings,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Geno Smith,passing-tds,nyj,fanatics,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Geno Smith,passing-tds,nyj,sleeper,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Geno Smith,passing-tds,nyj,hardrock,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Geno Smith,passing-tds,nyj,riverscasino,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Javonte Williams,receptions,dal,hardrock,1.5,2.0,4,-0.5,-25.0,Lower than consensus
Jayden Daniels,passing-tds,was,riverscasino,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Javonte Williams,receptions,dal,sleeper,1.5,2.0,4,-0.5,-25.0,Lower than consensus
Javonte Williams,receptions,dal,caesars,1.5,2.0,4,-0.5,-25.0,Lower than consensus
Jayden Daniels,passing-tds,was,caesars,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Michael Mayer,receptions,lvr,caesars,2.5,2.0,4,0.5,25.0,Higher than consensus
Michael Mayer,receptions,lvr,fanduel,2.5,2.0,4,0.5,25.0,Higher than consensus
Michael Mayer,receptions,lvr,fanatics,2.5,2.0,4,0.5,25.0,Higher than consensus
Geno Smith,passing-tds,nyj,fanduel,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Bucky Irving,receptions,tam,caesars,2.5,2.0,4,0.5,25.0,Higher than consensus
Bucky Irving,receptions,tam,draftkings,2.5,2.0,4,0.5,25.0,Higher than consensus
Bucky Irving,receptions,tam,fanduel,2.5,2.0,4,0.5,25.0,Higher than consensus
Geno Smith,passing-tds,nyj,caesars,0.5,0.67,6,-0.17,-25.0,Lower than consensus
Bucky Irving,receiving-yards,tam,fanatics,10.5,13.9,5,-3.4,-24.46,Lower than consensus
Tony Pollard,receiving-yards,ten,fanatics,10.5,8.5,5,2.0,23.53,Higher than consensus
Marvin Harrison,receptions,ari,fanduel,3.5,4.5,4,-1.0,-22.22,Lower than consensus
Courtland Sutton,receptions,den,sleeper,3.5,4.5,5,-1.0,-22.22,Lower than consensus
Parker Washington,receptions,jax,fanduel,3.5,4.5,5,-1.0,-22.22,Lower than consensus
Tee Higgins,receptions,cin,fanatics,5.5,4.5,5,1.0,22.22,Higher than consensus
Samaje Perine,rush-attempts,cin,fanatics,5.5,4.5,2,1.0,22.22,Higher than consensus
Michael Pittman,receptions,pit,fanduel,3.5,4.5,5,-1.0,-22.22,Lower than consensus
Tyler Shough,rush-attempts,nor,draftkings,3.5,4.5,2,-1.0,-22.22,Lower than consensus
George Pickens,receptions,dal,fanduel,5.5,4.5,5,1.0,22.22,Higher than consensus
Bo Nix,rush-attempts,den,draftkings,3.5,4.5,3,-1.0,-22.22,Lower than consensus
Christian Watson,receptions,gnb,hardrock,4.5,3.7,5,0.8,21.62,Higher than consensus
Christian Watson,receptions,gnb,sleeper,4.5,3.7,5,0.8,21.62,Higher than consensus
Rashod Bateman,receptions,bal,fanatics,1.5,1.9,5,-0.4,-21.05,Lower than consensus
Rashod Bateman,receptions,bal,caesars,1.5,1.9,5,-0.4,-21.05,Lower than consensus
Rashod Bateman,receptions,bal,draftkings,1.5,1.9,5,-0.4,-21.05,Lower than consensus
Rashod Bateman,receptions,bal,fanduel,1.5,1.9,5,-0.4,-21.05,Lower than consensus
Justice Hill,rushing-yards,bal,caesars,7.5,9.5,4,-2.0,-21.05,Lower than consensus
Justice Hill,rushing-yards,bal,fanatics,10.5,8.75,4,1.75,20.0,Higher than consensus
Harold Fannin,receptions,cle,sleeper,4.5,3.75,4,0.75,20.0,Higher than consensus
Harold Fannin,receptions,cle,fanduel,4.5,3.75,4,0.75,20.0,Higher than consensus
Calvin Ridley,receptions,ten,draftkings,2.5,2.1,5,0.4,19.05,Higher than consensus
Calvin Ridley,receptions,ten,caesars,2.5,2.1,5,0.4,19.05,Higher than consensus
Calvin Ridley,receptions,ten,fanduel,2.5,2.1,5,0.4,19.05,Higher than consensus
Calvin Ridley,receptions,ten,fanatics,2.5,2.1,5,0.4,19.05,Higher than consensus
Noah Gray,receiving-yards,kan,fanatics,10.5,8.83,3,1.67,18.87,Higher than consensus
Terry McLaurin,receptions,was,caesars,3.5,4.3,5,-0.8,-18.6,Lower than consensus
Terry McLaurin,receptions,was,fanduel,3.5,4.3,5,-0.8,-18.6,Lower than consensus
Tucker Kraft,receptions,gnb,sleeper,3.5,4.3,5,-0.8,-18.6,Lower than consensus
Tucker Kraft,receptions,gnb,fanduel,3.5,4.3,5,-0.8,-18.6,Lower than consensus
Justin Herbert,passing-tds,lac,caesars,1.5,1.83,6,-0.33,-18.18,Lower than consensus
Justin Herbert,passing-tds,lac,hardrock,1.5,1.83,6,-0.33,-18.18,Lower than consensus
Tyjae Spears,rush-attempts,ten,sleeper,4.5,5.5,2,-1.0,-18.18,Lower than consensus
Drake Maye,rush-attempts,nwe,fanatics,4.5,5.5,5,-1.0,-18.18,Lower than consensus
Justin Herbert,passing-tds,lac,sleeper,1.5,1.83,6,-0.33,-18.18,Lower than consensus
Justin Jefferson,receptions,min,fanatics,6.5,5.5,5,1.0,18.18,Higher than consensus
Justin Herbert,passing-tds,lac,fanduel,1.5,1.83,6,-0.33,-18.18,Lower than consensus
Kyler Murray,rush-attempts,min,hardrock,4.5,5.5,2,-1.0,-18.18,Lower than consensus
Justin Herbert,passing-tds,lac,draftkings,1.5,1.83,6,-0.33,-18.18,Lower than consensus
Jahan Dotson,receiving-yards,atl,fanatics,15.5,18.9,5,-3.4,-17.99,Lower than consensus
Rashid Shaheed,rushing-yards,sea,fanduel,2.5,3.0,4,-0.5,-16.67,Lower than consensus
Rashid Shaheed,rushing-yards,sea,caesars,2.5,3.0,4,-0.5,-16.67,Lower than consensus
Rashid Shaheed,rushing-yards,sea,riverscasino,2.5,3.0,4,-0.5,-16.67,Lower than consensus
Rashid Shaheed,rushing-and-receiving-yards,sea,riverscasino,42.5,36.5,4,6.0,16.44,Higher than consensus
Breece Hall,receiving-yards,nyj,fanatics,15.5,18.5,5,-3.0,-16.22,Lower than consensus
Tyler Shough,rushing-yards,nor,riverscasino,14.5,17.25,4,-2.75,-15.94,Lower than consensus
Jonathan Taylor,receiving-yards,ind,fanduel,18.5,16.0,4,2.5,15.62,Higher than consensus
Caleb Williams,rush-attempts,chi,draftkings,4.5,3.9,5,0.6,15.38,Higher than consensus
Caleb Williams,rush-attempts,chi,fanatics,4.5,3.9,5,0.6,15.38,Higher than consensus
Derrick Henry,receptions,bal,fanduel,1.5,1.3,5,0.2,15.38,Higher than consensus
Caleb Williams,rush-attempts,chi,caesars,4.5,3.9,5,0.6,15.38,Higher than consensus
Jaxson Dart,rush-attempts,nyg,fanduel,5.5,6.5,4,-1.0,-15.38,Lower than consensus
Joe Burrow,rushing-yards,cin,fanatics,5.5,6.5,5,-1.0,-15.38,Lower than consensus
Lamar Jackson,rush-attempts,bal,fanatics,7.5,6.5,4,1.0,15.38,Higher than consensus
Deshaun Watson,rushing-yards,cle,fanduel,19.5,16.9,5,2.6,15.38,Higher than consensus
Derrick Henry,receptions,bal,caesars,1.5,1.3,5,0.2,15.38,Higher than consensus
Derrick Henry,receptions,bal,fanatics,1.5,1.3,5,0.2,15.38,Higher than consensus
Derrick Henry,receptions,bal,hardrock,1.5,1.3,5,0.2,15.38,Higher than consensus
Derrick Henry,receptions,bal,draftkings,1.5,1.3,5,0.2,15.38,Higher than consensus
TreVeyon Henderson,rushing-yards,nwe,caesars,22.5,19.5,4,3.0,15.38,Higher than consensus
D'Andre Swift,receiving-yards,chi,fanatics,15.5,13.5,4,2.0,14.81,Higher than consensus
Jerry Jeudy,receiving-yards,cle,riverscasino,26.5,31.1,5,-4.6,-14.79,Lower than consensus
Caleb Williams,rush-attempts,chi,sleeper,3.5,4.1,5,-0.6,-14.63,Lower than consensus
Caleb Williams,rush-attempts,chi,fanduel,3.5,4.1,5,-0.6,-14.63,Lower than consensus
Caleb Williams,rush-attempts,chi,hardrock,3.5,4.1,5,-0.6,-14.63,Lower than consensus
Jalen Nailor,receptions,lvr,sleeper,1.5,1.75,4,-0.25,-14.29,Lower than consensus
Jalen Nailor,receptions,lvr,hardrock,1.5,1.75,4,-0.25,-14.29,Lower than consensus
Jalen Nailor,receptions,lvr,fanatics,1.5,1.75,4,-0.25,-14.29,Lower than consensus
Jalen Nailor,receptions,lvr,caesars,1.5,1.75,4,-0.25,-14.29,Lower than consensus
Justice Hill,rushing-and-receiving-yards,bal,fanatics,20.5,23.9,5,-3.4,-14.23,Lower than consensus
Braelon Allen,rushing-yards,nyj,fanatics,15.5,18.0,4,-2.5,-13.89,Lower than consensus
Tyquan Thornton,receiving-yards,kan,fanatics,15.5,18.0,4,-2.5,-13.89,Lower than consensus
Jalen McMillan,receptions,tam,fanduel,2.5,2.9,5,-0.4,-13.79,Lower than consensus
Jalen McMillan,receptions,tam,caesars,2.5,2.9,5,-0.4,-13.79,Lower than consensus
Jalen McMillan,receptions,tam,hardrock,2.5,2.9,5,-0.4,-13.79,Lower than consensus
Justin Herbert,rush-attempts,lac,fanatics,5.5,4.83,3,0.67,13.79,Higher than consensus
Justin Herbert,rush-attempts,lac,draftkings,5.5,4.83,3,0.67,13.79,Higher than consensus
Jalen McMillan,receptions,tam,draftkings,2.5,2.9,5,-0.4,-13.79,Lower than consensus
TreVeyon Henderson,receiving-yards,nwe,riverscasino,6.5,7.5,4,-1.0,-13.33,Lower than consensus
