year,week,team_1,team_2,date,time,location,boxscore_url
2022,1,Buffalo Bills,Los Angeles Rams,2022-09-08,8:20PM,Los Angeles,/boxscores/202209080ram.htm
2022,1,New Orleans Saints,Atlanta Falcons,2022-09-11,1:00PM,Atlanta,/boxscores/202209110atl.htm
2022,1,Cleveland Browns,Carolina Panthers,2022-09-11,1:00PM,Carolina,/boxscores/202209110car.htm
2022,1,Chicago Bears,San Francisco 49ers,2022-09-11,1:00PM,Chicago,/boxscores/202209110chi.htm
2022,1,Pittsburgh Steelers,Cincinnati Bengals,2022-09-11,1:00PM,Cincinnati,/boxscores/202209110cin.htm
2022,1,Houston Texans,Indianapolis Colts,2022-09-11,1:00PM,Houston,/boxscores/202209110htx.htm
2022,1,Philadelphia Eagles,Detroit Lions,2022-09-11,1:00PM,Detroit,/boxscores/202209110det.htm
2022,1,Washington Commanders,Jacksonville Jaguars,2022-09-11,1:00PM,Washington,/boxscores/202209110was.htm
2022,1,Miami Dolphins,New England Patriots,2022-09-11,1:00PM,Miami,/boxscores/202209110mia.htm
2022,1,Baltimore Ravens,New York Jets,2022-09-11,1:00PM,New York,/boxscores/202209110nyj.htm
2022,1,Kansas City Chiefs,Arizona Cardinals,2022-09-11,4:25PM,Arizona,/boxscores/202209110crd.htm
2022,1,Minnesota Vikings,Green Bay Packers,2022-09-11,4:25PM,Minnesota,/boxscores/202209110min.htm
2022,1,New York Giants,Tennessee Titans,2022-09-11,4:25PM,Tennessee,/boxscores/202209110oti.htm
2022,1,Los Angeles Chargers,Las Vegas Raiders,2022-09-11,4:25PM,Los Angeles,/boxscores/202209110sdg.htm
2022,1,Tampa Bay Buccaneers,Dallas Cowboys,2022-09-11,8:20PM,Dallas,/boxscores/202209110dal.htm
2022,1,Seattle Seahawks,Denver Broncos,2022-09-12,8:20PM,Seattle,/boxscores/202209120sea.htm
2022,2,Kansas City Chiefs,Los Angeles Chargers,2022-09-15,8:15PM,Kansas City,/boxscores/202209150kan.htm
2022,2,New York Giants,Carolina Panthers,2022-09-18,1:00PM,New York,/boxscores/202209180nyg.htm
2022,2,New York Jets,Cleveland Browns,2022-09-18,1:00PM,Cleveland,/boxscores/202209180cle.htm
2022,2,Jacksonville Jaguars,Indianapolis Colts,2022-09-18,1:00PM,Jacksonville,/boxscores/202209180jax.htm
2022,2,Detroit Lions,Washington Commanders,2022-09-18,1:00PM,Detroit,/boxscores/202209180det.htm
2022,2,Miami Dolphins,Baltimore Ravens,2022-09-18,1:00PM,Baltimore,/boxscores/202209180rav.htm
2022,2,Tampa Bay Buccaneers,New Orleans Saints,2022-09-18,1:00PM,New Orleans,/boxscores/202209180nor.htm
2022,2,New England Patriots,Pittsburgh Steelers,2022-09-18,1:00PM,Pittsburgh,/boxscores/202209180pit.htm
2022,2,Los Angeles Rams,Atlanta Falcons,2022-09-18,4:05PM,Los Angeles,/boxscores/202209180ram.htm
2022,2,San Francisco 49ers,Seattle Seahawks,2022-09-18,4:05PM,San Francisco,/boxscores/202209180sfo.htm
2022,2,Dallas Cowboys,Cincinnati Bengals,2022-09-18,4:25PM,Dallas,/boxscores/202209180dal.htm
2022,2,Arizona Cardinals,Las Vegas Raiders,2022-09-18,4:25PM,Las Vegas,/boxscores/202209180rai.htm
