year,week,team_1,team_2,date,time,location,boxscore_url
2022,2,Denver Broncos,Houston Texans,2022-09-18,4:25PM,Denver,/boxscores/202209180den.htm
2022,2,Green Bay Packers,Chicago Bears,2022-09-18,8:20PM,Green Bay,/boxscores/202209180gnb.htm
2022,2,Buffalo Bills,Tennessee Titans,2022-09-19,7:15PM,Buffalo,/boxscores/202209190buf.htm
2022,2,Philadelphia Eagles,Minnesota Vikings,2022-09-19,8:30PM,Philadelphia,/boxscores/202209190phi.htm
2022,3,Cleveland Browns,Pittsburgh Steelers,2022-09-22,8:15PM,Cleveland,/boxscores/202209220cle.htm
2022,3,Miami Dolphins,Buffalo Bills,2022-09-25,1:00PM,Miami,/boxscores/202209250mia.htm
2022,3,Carolina Panthers,New Orleans Saints,2022-09-25,1:00PM,Carolina,/boxscores/202209250car.htm
2022,3,Chicago Bears,Houston Texans,2022-09-25,1:00PM,Chicago,/boxscores/202209250chi.htm
2022,3,Cincinnati Bengals,New York Jets,2022-09-25,1:00PM,New York,/boxscores/202209250nyj.htm
2022,3,Indianapolis Colts,Kansas City Chiefs,2022-09-25,1:00PM,Indianapolis,/boxscores/202209250clt.htm
2022,3,Minnesota Vikings,Detroit Lions,2022-09-25,1:00PM,Minnesota,/boxscores/202209250min.htm
2022,3,Baltimore Ravens,New England Patriots,2022-09-25,1:00PM,New England,/boxscores/202209250nwe.htm
2022,3,Tennessee Titans,Las Vegas Raiders,2022-09-25,1:00PM,Tennessee,/boxscores/202209250oti.htm
2022,3,Philadelphia Eagles,Washington Commanders,2022-09-25,1:00PM,Washington,/boxscores/202209250was.htm
2022,3,Jacksonville Jaguars,Los Angeles Chargers,2022-09-25,4:05PM,Los Angeles,/boxscores/202209250sdg.htm
2022,3,Atlanta Falcons,Seattle Seahawks,2022-09-25,4:25PM,Seattle,/boxscores/202209250sea.htm
2022,3,Los Angeles Rams,Arizona Cardinals,2022-09-25,4:25PM,Arizona,/boxscores/202209250crd.htm
2022,3,Green Bay Packers,Tampa Bay Buccaneers,2022-09-25,4:25PM,Tampa Bay,/boxscores/202209250tam.htm
2022,3,Denver Broncos,San Francisco 49ers,2022-09-25,8:20PM,Denver,/boxscores/202209250den.htm
2022,3,Dallas Cowboys,New York Giants,2022-09-26,8:15PM,New York,/boxscores/202209260nyg.htm
2022,4,Cincinnati Bengals,Miami Dolphins,2022-09-29,8:15PM,Cincinnati,/boxscores/202209290cin.htm
2022,4,Minnesota Vikings,New Orleans Saints,2022-10-02,9:30AM,New Orleans,/boxscores/202210020nor.htm
2022,4,Atlanta Falcons,Cleveland Browns,2022-10-02,1:00PM,Atlanta,/boxscores/202210020atl.htm
2022,4,Buffalo Bills,Baltimore Ravens,2022-10-02,1:00PM,Baltimore,/boxscores/202210020rav.htm
2022,4,New York Giants,Chicago Bears,2022-10-02,1:00PM,New York,/boxscores/202210020nyg.htm
2022,4,Tennessee Titans,Indianapolis Colts,2022-10-02,1:00PM,Indianapolis,/boxscores/202210020clt.htm
2022,4,Dallas Cowboys,Washington Commanders,2022-10-02,1:00PM,Dallas,/boxscores/202210020dal.htm
2022,4,Seattle Seahawks,Detroit Lions,2022-10-02,1:00PM,Detroit,/boxscores/202210020det.htm
2022,4,Los Angeles Chargers,Houston Texans,2022-10-02,1:00PM,Houston,/boxscores/202210020htx.htm
2022,4,Philadelphia Eagles,Jacksonville Jaguars,2022-10-02,1:00PM,Philadelphia,/boxscores/202210020phi.htm
2022,4,New York Jets,Pittsburgh Steelers,2022-10-02,1:00PM,Pittsburgh,/boxscores/202210020pit.htm
2022,4,Arizona Cardinals,Carolina Panthers,2022-10-02,4:05PM,Carolina,/boxscores/202210020car.htm
2022,4,Las Vegas Raiders,Denver Broncos,2022-10-02,4:25PM,Las Vegas,/boxscores/202210020rai.htm
2022,4,Green Bay Packers,New England Patriots,2022-10-02,4:25PM,Green Bay,/boxscores/202210020gnb.htm
2022,4,Kansas City Chiefs,Tampa Bay Buccaneers,2022-10-02,8:20PM,Tampa Bay,/boxscores/202210020tam.htm
2022,4,San Francisco 49ers,Los Angeles Rams,2022-10-03,8:15PM,San Francisco,/boxscores/202210030sfo.htm
2022,5,Indianapolis Colts,Denver Broncos,2022-10-06,8:15PM,Denver,/boxscores/202210060den.htm
2022,5,New York Giants,Green Bay Packers,2022-10-09,9:30AM,Green Bay,/boxscores/202210090gnb.htm
2022,5,Tampa Bay Buccaneers,Atlanta Falcons,2022-10-09,1:00PM,Tampa Bay,/boxscores/202210090tam.htm
2022,5,Buffalo Bills,Pittsburgh Steelers,2022-10-09,1:00PM,Buffalo,/boxscores/202210090buf.htm
2022,5,Minnesota Vikings,Chicago Bears,2022-10-09,1:00PM,Minnesota,/boxscores/202210090min.htm
2022,5,Los Angeles Chargers,Cleveland Browns,2022-10-09,1:00PM,Cleveland,/boxscores/202210090cle.htm
2022,5,New England Patriots,Detroit Lions,2022-10-09,1:00PM,New England,/boxscores/202210090nwe.htm
2022,5,Houston Texans,Jacksonville Jaguars,2022-10-09,1:00PM,Jacksonville,/boxscores/202210090jax.htm
2022,5,New York Jets,Miami Dolphins,2022-10-09,1:00PM,New York,/boxscores/202210090nyj.htm
2022,5,New Orleans Saints,Seattle Seahawks,2022-10-09,1:00PM,New Orleans,/boxscores/202210090nor.htm
2022,5,Tennessee Titans,Washington Commanders,2022-10-09,1:00PM,Washington,/boxscores/202210090was.htm
2022,5,San Francisco 49ers,Carolina Panthers,2022-10-09,4:05PM,Carolina,/boxscores/202210090car.htm
2022,5,Philadelphia Eagles,Arizona Cardinals,2022-10-09,4:25PM,Arizona,/boxscores/202210090crd.htm
2022,5,Dallas Cowboys,Los Angeles Rams,2022-10-09,4:25PM,Los Angeles,/boxscores/202210090ram.htm
2022,5,Baltimore Ravens,Cincinnati Bengals,2022-10-09,8:20PM,Baltimore,/boxscores/202210090rav.htm
2022,5,Kansas City Chiefs,Las Vegas Raiders,2022-10-10,8:15PM,Kansas City,/boxscores/202210100kan.htm
2022,6,Washington Commanders,Chicago Bears,2022-10-13,8:15PM,Chicago,/boxscores/202210130chi.htm
2022,6,Atlanta Falcons,San Francisco 49ers,2022-10-16,1:00PM,Atlanta,/boxscores/202210160atl.htm
2022,6,Cincinnati Bengals,New Orleans Saints,2022-10-16,1:00PM,New Orleans,/boxscores/202210160nor.htm
2022,6,New England Patriots,Cleveland Browns,2022-10-16,1:00PM,Cleveland,/boxscores/202210160cle.htm
2022,6,Indianapolis Colts,Jacksonville Jaguars,2022-10-16,1:00PM,Indianapolis,/boxscores/202210160clt.htm
2022,6,New York Jets,Green Bay Packers,2022-10-16,1:00PM,Green Bay,/boxscores/202210160gnb.htm
2022,6,Minnesota Vikings,Miami Dolphins,2022-10-16,1:00PM,Miami,/boxscores/202210160mia.htm
2022,6,New York Giants,Baltimore Ravens,2022-10-16,1:00PM,New York,/boxscores/202210160nyg.htm
2022,6,Pittsburgh Steelers,Tampa Bay Buccaneers,2022-10-16,1:00PM,Pittsburgh,/boxscores/202210160pit.htm
2022,6,Los Angeles Rams,Carolina Panthers,2022-10-16,4:05PM,Los Angeles,/boxscores/202210160ram.htm
2022,6,Seattle Seahawks,Arizona Cardinals,2022-10-16,4:05PM,Seattle,/boxscores/202210160sea.htm
2022,6,Buffalo Bills,Kansas City Chiefs,2022-10-16,4:25PM,Kansas City,/boxscores/202210160kan.htm
2022,6,Philadelphia Eagles,Dallas Cowboys,2022-10-16,8:20PM,Philadelphia,/boxscores/202210160phi.htm
2022,6,Los Angeles Chargers,Denver Broncos,2022-10-17,8:15PM,Los Angeles,/boxscores/202210170sdg.htm
2022,7,Arizona Cardinals,New Orleans Saints,2022-10-20,8:15PM,Arizona,/boxscores/202210200crd.htm
2022,7,Cincinnati Bengals,Atlanta Falcons,2022-10-23,1:00PM,Cincinnati,/boxscores/202210230cin.htm
2022,7,Carolina Panthers,Tampa Bay Buccaneers,2022-10-23,1:00PM,Carolina,/boxscores/202210230car.htm
2022,7,Baltimore Ravens,Cleveland Browns,2022-10-23,1:00PM,Baltimore,/boxscores/202210230rav.htm
2022,7,Tennessee Titans,Indianapolis Colts,2022-10-23,1:00PM,Tennessee,/boxscores/202210230oti.htm
2022,7,Dallas Cowboys,Detroit Lions,2022-10-23,1:00PM,Dallas,/boxscores/202210230dal.htm
2022,7,Washington Commanders,Green Bay Packers,2022-10-23,1:00PM,Washington,/boxscores/202210230was.htm
2022,7,New York Giants,Jacksonville Jaguars,2022-10-23,1:00PM,Jacksonville,/boxscores/202210230jax.htm
2022,7,Las Vegas Raiders,Houston Texans,2022-10-23,4:05PM,Las Vegas,/boxscores/202210230rai.htm
2022,7,New York Jets,Denver Broncos,2022-10-23,4:05PM,Denver,/boxscores/202210230den.htm
2022,7,Kansas City Chiefs,San Francisco 49ers,2022-10-23,4:25PM,San Francisco,/boxscores/202210230sfo.htm
2022,7,Seattle Seahawks,Los Angeles Chargers,2022-10-23,4:25PM,Los Angeles,/boxscores/202210230sdg.htm
2022,7,Miami Dolphins,Pittsburgh Steelers,2022-10-23,8:20PM,Miami,/boxscores/202210230mia.htm
2022,7,Chicago Bears,New England Patriots,2022-10-24,8:15PM,New England,/boxscores/202210240nwe.htm
2022,8,Baltimore Ravens,Tampa Bay Buccaneers,2022-10-27,8:15PM,Tampa Bay,/boxscores/202210270tam.htm
2022,8,Denver Broncos,Jacksonville Jaguars,2022-10-30,9:30AM,Jacksonville,/boxscores/202210300jax.htm
2022,8,Miami Dolphins,Detroit Lions,2022-10-30,1:00PM,Detroit,/boxscores/202210300det.htm
2022,8,Philadelphia Eagles,Pittsburgh Steelers,2022-10-30,1:00PM,Philadelphia,/boxscores/202210300phi.htm
2022,8,Atlanta Falcons,Carolina Panthers,2022-10-30,1:00PM,Atlanta,/boxscores/202210300atl.htm
2022,8,Dallas Cowboys,Chicago Bears,2022-10-30,1:00PM,Dallas,/boxscores/202210300dal.htm
2022,8,Minnesota Vikings,Arizona Cardinals,2022-10-30,1:00PM,Minnesota,/boxscores/202210300min.htm
2022,8,New Orleans Saints,Las Vegas Raiders,2022-10-30,1:00PM,New Orleans,/boxscores/202210300nor.htm
2022,8,New England Patriots,New York Jets,2022-10-30,1:00PM,New York,/boxscores/202210300nyj.htm
2022,8,Tennessee Titans,Houston Texans,2022-10-30,4:05PM,Houston,/boxscores/202210300htx.htm
2022,8,San Francisco 49ers,Los Angeles Rams,2022-10-30,4:25PM,Los Angeles,/boxscores/202210300ram.htm
2022,8,Washington Commanders,Indianapolis Colts,2022-10-30,4:25PM,Indianapolis,/boxscores/202210300clt.htm
2022,8,Seattle Seahawks,New York Giants,2022-10-30,4:25PM,Seattle,/boxscores/202210300sea.htm
2022,8,Buffalo Bills,Green Bay Packers,2022-10-30,8:20PM,Buffalo,/boxscores/202210300buf.htm
2022,8,Cleveland Browns,Cincinnati Bengals,2022-10-31,8:15PM,Cleveland,/boxscores/202210310cle.htm
2022,9,Philadelphia Eagles,Houston Texans,2022-11-03,8:15PM,Houston,/boxscores/202211030htx.htm
2022,9,New York Jets,Buffalo Bills,2022-11-06,1:00PM,New York,/boxscores/202211060nyj.htm
2022,9,Detroit Lions,Green Bay Packers,2022-11-06,1:00PM,Detroit,/boxscores/202211060det.htm
2022,9,Minnesota Vikings,Washington Commanders,2022-11-06,1:00PM,Washington,/boxscores/202211060was.htm
2022,9,Los Angeles Chargers,Atlanta Falcons,2022-11-06,1:00PM,Atlanta,/boxscores/202211060atl.htm
2022,9,Cincinnati Bengals,Carolina Panthers,2022-11-06,1:00PM,Cincinnati,/boxscores/202211060cin.htm
2022,9,Miami Dolphins,Chicago Bears,2022-11-06,1:00PM,Chicago,/boxscores/202211060chi.htm
2022,9,New England Patriots,Indianapolis Colts,2022-11-06,1:00PM,New England,/boxscores/202211060nwe.htm
2022,9,Jacksonville Jaguars,Las Vegas Raiders,2022-11-06,1:00PM,Jacksonville,/boxscores/202211060jax.htm
2022,9,Seattle Seahawks,Arizona Cardinals,2022-11-06,4:05PM,Arizona,/boxscores/202211060crd.htm
2022,9,Tampa Bay Buccaneers,Los Angeles Rams,2022-11-06,4:25PM,Tampa Bay,/boxscores/202211060tam.htm
2022,9,Kansas City Chiefs,Tennessee Titans,2022-11-06,8:20PM,Kansas City,/boxscores/202211060kan.htm
2022,9,Baltimore Ravens,New Orleans Saints,2022-11-07,8:15PM,New Orleans,/boxscores/202211070nor.htm
2022,10,Carolina Panthers,Atlanta Falcons,2022-11-10,8:15PM,Carolina,/boxscores/202211100car.htm
2022,10,Tampa Bay Buccaneers,Seattle Seahawks,2022-11-13,9:30AM,Tampa Bay,/boxscores/202211130tam.htm
2022,10,Minnesota Vikings,Buffalo Bills,2022-11-13,1:00PM,Buffalo,/boxscores/202211130buf.htm
2022,10,Miami Dolphins,Cleveland Browns,2022-11-13,1:00PM,Miami,/boxscores/202211130mia.htm
2022,10,Tennessee Titans,Denver Broncos,2022-11-13,1:00PM,Tennessee,/boxscores/202211130oti.htm
2022,10,New York Giants,Houston Texans,2022-11-13,1:00PM,New York,/boxscores/202211130nyg.htm
2022,10,Detroit Lions,Chicago Bears,2022-11-13,1:00PM,Chicago,/boxscores/202211130chi.htm
2022,10,Kansas City Chiefs,Jacksonville Jaguars,2022-11-13,1:00PM,Kansas City,/boxscores/202211130kan.htm
2022,10,Pittsburgh Steelers,New Orleans Saints,2022-11-13,1:00PM,Pittsburgh,/boxscores/202211130pit.htm
2022,10,Indianapolis Colts,Las Vegas Raiders,2022-11-13,4:05PM,Las Vegas,/boxscores/202211130rai.htm
2022,10,Green Bay Packers,Dallas Cowboys,2022-11-13,4:25PM,Green Bay,/boxscores/202211130gnb.htm
2022,10,Arizona Cardinals,Los Angeles Rams,2022-11-13,4:25PM,Los Angeles,/boxscores/202211130ram.htm
2022,10,San Francisco 49ers,Los Angeles Chargers,2022-11-13,8:20PM,San Francisco,/boxscores/202211130sfo.htm
2022,10,Washington Commanders,Philadelphia Eagles,2022-11-14,8:15PM,Philadelphia,/boxscores/202211140phi.htm
2022,11,Tennessee Titans,Green Bay Packers,2022-11-17,8:15PM,Green Bay,/boxscores/202211170gnb.htm
2022,11,Buffalo Bills,Cleveland Browns,2022-11-20,1:00PM,Buffalo,/boxscores/202211200buf.htm
2022,11,Detroit Lions,New York Giants,2022-11-20,1:00PM,New York,/boxscores/202211200nyg.htm
2022,11,Washington Commanders,Houston Texans,2022-11-20,1:00PM,Houston,/boxscores/202211200htx.htm
2022,11,New England Patriots,New York Jets,2022-11-20,1:00PM,New England,/boxscores/202211200nwe.htm
2022,11,Atlanta Falcons,Chicago Bears,2022-11-20,1:00PM,Atlanta,/boxscores/202211200atl.htm
2022,11,Baltimore Ravens,Carolina Panthers,2022-11-20,1:00PM,Baltimore,/boxscores/202211200rav.htm
2022,11,Philadelphia Eagles,Indianapolis Colts,2022-11-20,1:00PM,Indianapolis,/boxscores/202211200clt.htm
2022,11,New Orleans Saints,Los Angeles Rams,2022-11-20,1:00PM,New Orleans,/boxscores/202211200nor.htm
2022,11,Las Vegas Raiders,Denver Broncos,2022-11-20,4:05PM,Denver,/boxscores/202211200den.htm
2022,11,Cincinnati Bengals,Pittsburgh Steelers,2022-11-20,4:25PM,Pittsburgh,/boxscores/202211200pit.htm
2022,11,Dallas Cowboys,Minnesota Vikings,2022-11-20,4:25PM,Minnesota,/boxscores/202211200min.htm
2022,11,Kansas City Chiefs,Los Angeles Chargers,2022-11-20,8:20PM,Los Angeles,/boxscores/202211200sdg.htm
2022,11,San Francisco 49ers,Arizona Cardinals,2022-11-21,8:15PM,Arizona,/boxscores/202211210crd.htm
2022,12,Buffalo Bills,Detroit Lions,2022-11-24,12:30PM,Detroit,/boxscores/202211240det.htm
2022,12,Dallas Cowboys,New York Giants,2022-11-24,4:30PM,Dallas,/boxscores/202211240dal.htm
2022,12,Minnesota Vikings,New England Patriots,2022-11-24,8:20PM,Minnesota,/boxscores/202211240min.htm
2022,12,Cincinnati Bengals,Tennessee Titans,2022-11-27,1:00PM,Tennessee,/boxscores/202211270oti.htm
2022,12,Cleveland Browns,Tampa Bay Buccaneers,2022-11-27,1:00PM,Cleveland,/boxscores/202211270cle.htm
2022,12,Miami Dolphins,Houston Texans,2022-11-27,1:00PM,Miami,/boxscores/202211270mia.htm
2022,12,Jacksonville Jaguars,Baltimore Ravens,2022-11-27,1:00PM,Jacksonville,/boxscores/202211270jax.htm
2022,12,Washington Commanders,Atlanta Falcons,2022-11-27,1:00PM,Washington,/boxscores/202211270was.htm
2022,12,Carolina Panthers,Denver Broncos,2022-11-27,1:00PM,Carolina,/boxscores/202211270car.htm
2022,12,New York Jets,Chicago Bears,2022-11-27,1:00PM,New York,/boxscores/202211270nyj.htm
2022,12,Las Vegas Raiders,Seattle Seahawks,2022-11-27,4:05PM,Seattle,/boxscores/202211270sea.htm
2022,12,Los Angeles Chargers,Arizona Cardinals,2022-11-27,4:05PM,Arizona,/boxscores/202211270crd.htm
2022,12,Kansas City Chiefs,Los Angeles Rams,2022-11-27,4:25PM,Kansas City,/boxscores/202211270kan.htm
2022,12,San Francisco 49ers,New Orleans Saints,2022-11-27,4:25PM,San Francisco,/boxscores/202211270sfo.htm
2022,12,Philadelphia Eagles,Green Bay Packers,2022-11-27,8:20PM,Philadelphia,/boxscores/202211270phi.htm
2022,12,Pittsburgh Steelers,Indianapolis Colts,2022-11-28,8:15PM,Indianapolis,/boxscores/202211280clt.htm
2022,13,Buffalo Bills,New England Patriots,2022-12-01,8:15PM,New England,/boxscores/202212010nwe.htm
2022,13,Cleveland Browns,Houston Texans,2022-12-04,1:00PM,Houston,/boxscores/202212040htx.htm
2022,13,Baltimore Ravens,Denver Broncos,2022-12-04,1:00PM,Baltimore,/boxscores/202212040rav.htm
2022,13,Detroit Lions,Jacksonville Jaguars,2022-12-04,1:00PM,Detroit,/boxscores/202212040det.htm
2022,13,Minnesota Vikings,New York Jets,2022-12-04,1:00PM,Minnesota,/boxscores/202212040min.htm
2022,13,Washington Commanders,New York Giants,2022-12-04,1:00PM,New York,/boxscores/202212040nyg.htm
2022,13,Philadelphia Eagles,Tennessee Titans,2022-12-04,1:00PM,Philadelphia,/boxscores/202212040phi.htm
2022,13,Pittsburgh Steelers,Atlanta Falcons,2022-12-04,1:00PM,Atlanta,/boxscores/202212040atl.htm
2022,13,Green Bay Packers,Chicago Bears,2022-12-04,1:00PM,Chicago,/boxscores/202212040chi.htm
2022,13,San Francisco 49ers,Miami Dolphins,2022-12-04,4:05PM,San Francisco,/boxscores/202212040sfo.htm
2022,13,Seattle Seahawks,Los Angeles Rams,2022-12-04,4:05PM,Los Angeles,/boxscores/202212040ram.htm
2022,13,Cincinnati Bengals,Kansas City Chiefs,2022-12-04,4:25PM,Cincinnati,/boxscores/202212040cin.htm
2022,13,Las Vegas Raiders,Los Angeles Chargers,2022-12-04,4:25PM,Las Vegas,/boxscores/202212040rai.htm
2022,13,Dallas Cowboys,Indianapolis Colts,2022-12-04,8:20PM,Dallas,/boxscores/202212040dal.htm
2022,13,Tampa Bay Buccaneers,New Orleans Saints,2022-12-05,8:15PM,Tampa Bay,/boxscores/202212050tam.htm
2022,14,Los Angeles Rams,Las Vegas Raiders,2022-12-08,8:15PM,Los Angeles,/boxscores/202212080ram.htm
2022,14,Buffalo Bills,New York Jets,2022-12-11,1:00PM,Buffalo,/boxscores/202212110buf.htm
2022,14,Cincinnati Bengals,Cleveland Browns,2022-12-11,1:00PM,Cincinnati,/boxscores/202212110cin.htm
2022,14,Dallas Cowboys,Houston Texans,2022-12-11,1:00PM,Dallas,/boxscores/202212110dal.htm
2022,14,Detroit Lions,Minnesota Vikings,2022-12-11,1:00PM,Detroit,/boxscores/202212110det.htm
2022,14,Jacksonville Jaguars,Tennessee Titans,2022-12-11,1:00PM,Tennessee,/boxscores/202212110oti.htm
2022,14,Philadelphia Eagles,New York Giants,2022-12-11,1:00PM,New York,/boxscores/202212110nyg.htm
2022,14,Baltimore Ravens,Pittsburgh Steelers,2022-12-11,1:00PM,Pittsburgh,/boxscores/202212110pit.htm
2022,14,Kansas City Chiefs,Denver Broncos,2022-12-11,4:20PM,Denver,/boxscores/202212110den.htm
2022,14,Carolina Panthers,Seattle Seahawks,2022-12-11,4:25PM,Seattle,/boxscores/202212110sea.htm
2022,14,San Francisco 49ers,Tampa Bay Buccaneers,2022-12-11,4:25PM,San Francisco,/boxscores/202212110sfo.htm
2022,14,Los Angeles Chargers,Miami Dolphins,2022-12-11,8:20PM,Los Angeles,/boxscores/202212110sdg.htm
2022,14,New England Patriots,Arizona Cardinals,2022-12-12,8:15PM,Arizona,/boxscores/202212120crd.htm
2022,15,San Francisco 49ers,Seattle Seahawks,2022-12-15,8:15PM,Seattle,/boxscores/202212150sea.htm
2022,15,Minnesota Vikings,Indianapolis Colts,2022-12-17,1:00PM,Minnesota,/boxscores/202212170min.htm
2022,15,Cleveland Browns,Baltimore Ravens,2022-12-17,4:30PM,Cleveland,/boxscores/202212170cle.htm
2022,15,Buffalo Bills,Miami Dolphins,2022-12-17,8:15PM,Buffalo,/boxscores/202212170buf.htm
2022,15,New Orleans Saints,Atlanta Falcons,2022-12-18,1:00PM,New Orleans,/boxscores/202212180nor.htm
2022,15,Pittsburgh Steelers,Carolina Panthers,2022-12-18,1:00PM,Carolina,/boxscores/202212180car.htm
2022,15,Philadelphia Eagles,Chicago Bears,2022-12-18,1:00PM,Chicago,/boxscores/202212180chi.htm
2022,15,Jacksonville Jaguars,Dallas Cowboys,2022-12-18,1:00PM,Jacksonville,/boxscores/202212180jax.htm
2022,15,Detroit Lions,New York Jets,2022-12-18,1:00PM,New York,/boxscores/202212180nyj.htm
2022,15,Kansas City Chiefs,Houston Texans,2022-12-18,1:00PM,Houston,/boxscores/202212180htx.htm
2022,15,Denver Broncos,Arizona Cardinals,2022-12-18,4:05PM,Denver,/boxscores/202212180den.htm
2022,15,Las Vegas Raiders,New England Patriots,2022-12-18,4:05PM,Las Vegas,/boxscores/202212180rai.htm
2022,15,Cincinnati Bengals,Tampa Bay Buccaneers,2022-12-18,4:25PM,Tampa Bay,/boxscores/202212180tam.htm
2022,15,Los Angeles Chargers,Tennessee Titans,2022-12-18,4:25PM,Los Angeles,/boxscores/202212180sdg.htm
2022,15,New York Giants,Washington Commanders,2022-12-18,8:15PM,Washington,/boxscores/202212180was.htm
2022,15,Green Bay Packers,Los Angeles Rams,2022-12-19,8:15PM,Green Bay,/boxscores/202212190gnb.htm
2022,16,Jacksonville Jaguars,New York Jets,2022-12-22,8:15PM,New York,/boxscores/202212220nyj.htm
2022,16,Baltimore Ravens,Atlanta Falcons,2022-12-24,1:00PM,Baltimore,/boxscores/202212240rav.htm
2022,16,Buffalo Bills,Chicago Bears,2022-12-24,1:00PM,Chicago,/boxscores/202212240chi.htm
2022,16,Carolina Panthers,Detroit Lions,2022-12-24,1:00PM,Carolina,/boxscores/202212240car.htm
2022,16,Cincinnati Bengals,New England Patriots,2022-12-24,1:00PM,New England,/boxscores/202212240nwe.htm
2022,16,New Orleans Saints,Cleveland Browns,2022-12-24,1:00PM,Cleveland,/boxscores/202212240cle.htm
2022,16,Houston Texans,Tennessee Titans,2022-12-24,1:00PM,Tennessee,/boxscores/202212240oti.htm
2022,16,Kansas City Chiefs,Seattle Seahawks,2022-12-24,1:00PM,Kansas City,/boxscores/202212240kan.htm
2022,16,Minnesota Vikings,New York Giants,2022-12-24,1:00PM,Minnesota,/boxscores/202212240min.htm
2022,16,San Francisco 49ers,Washington Commanders,2022-12-24,4:05PM,San Francisco,/boxscores/202212240sfo.htm
2022,16,Dallas Cowboys,Philadelphia Eagles,2022-12-24,4:25PM,Dallas,/boxscores/202212240dal.htm
2022,16,Pittsburgh Steelers,Las Vegas Raiders,2022-12-24,8:15PM,Pittsburgh,/boxscores/202212240pit.htm
2022,16,Green Bay Packers,Miami Dolphins,2022-12-25,1:00PM,Miami,/boxscores/202212250mia.htm
2022,16,Los Angeles Rams,Denver Broncos,2022-12-25,4:30PM,Los Angeles,/boxscores/202212250ram.htm
2022,16,Tampa Bay Buccaneers,Arizona Cardinals,2022-12-25,8:20PM,Arizona,/boxscores/202212250crd.htm
2022,16,Los Angeles Chargers,Indianapolis Colts,2022-12-26,8:15PM,Indianapolis,/boxscores/202212260clt.htm
2022,17,Dallas Cowboys,Tennessee Titans,2022-12-29,8:15PM,Tennessee,/boxscores/202212290oti.htm
2022,17,Atlanta Falcons,Arizona Cardinals,2023-01-01,1:00PM,Atlanta,/boxscores/202301010atl.htm
