year,week,team_1,team_2,date,time,location,boxscore_url
2015,1,New England Patriots,Pittsburgh Steelers,2015-09-10,8:40PM,New England,/boxscores/201509100nwe.htm
2015,1,Green Bay Packers,Chicago Bears,2015-09-13,1:00PM,Chicago,/boxscores/201509130chi.htm
2015,1,St. Louis Rams,Seattle Seahawks,2015-09-13,1:00PM,St. Louis,/boxscores/201509130ram.htm
2015,1,Kansas City Chiefs,Houston Texans,2015-09-13,1:02PM,Houston,/boxscores/201509130htx.htm
2015,1,Miami Dolphins,Washington Redskins,2015-09-13,1:02PM,Washington,/boxscores/201509130was.htm
2015,1,Buffalo Bills,Indianapolis Colts,2015-09-13,1:03PM,Buffalo,/boxscores/201509130buf.htm
2015,1,Carolina Panthers,Jacksonville Jaguars,2015-09-13,1:03PM,Jacksonville,/boxscores/201509130jax.htm
2015,1,New York Jets,Cleveland Browns,2015-09-13,1:04PM,New York,/boxscores/201509130nyj.htm
2015,1,Arizona Cardinals,New Orleans Saints,2015-09-13,4:05PM,Arizona,/boxscores/201509130crd.htm
2015,1,San Diego Chargers,Detroit Lions,2015-09-13,4:05PM,San Diego,/boxscores/201509130sdg.htm
2015,1,Cincinnati Bengals,Oakland Raiders,2015-09-13,4:25PM,Oakland,/boxscores/201509130rai.htm
2015,1,Denver Broncos,Baltimore Ravens,2015-09-13,4:25PM,Denver,/boxscores/201509130den.htm
2015,1,Tennessee Titans,Tampa Bay Buccaneers,2015-09-13,4:25PM,Tampa Bay,/boxscores/201509130tam.htm
2015,1,Dallas Cowboys,New York Giants,2015-09-13,8:31PM,Dallas,/boxscores/201509130dal.htm
2015,1,Atlanta Falcons,Philadelphia Eagles,2015-09-14,7:10PM,Atlanta,/boxscores/201509140atl.htm
2015,1,San Francisco 49ers,Minnesota Vikings,2015-09-14,10:20PM,San Francisco,/boxscores/201509140sfo.htm
2015,2,Denver Broncos,Kansas City Chiefs,2015-09-17,8:29PM,Kansas City,/boxscores/201509170kan.htm
2015,2,Arizona Cardinals,Chicago Bears,2015-09-20,1:00PM,Chicago,/boxscores/201509200chi.htm
2015,2,Atlanta Falcons,New York Giants,2015-09-20,1:02PM,New York,/boxscores/201509200nyg.htm
2015,2,New England Patriots,Buffalo Bills,2015-09-20,1:02PM,Buffalo,/boxscores/201509200buf.htm
2015,2,Carolina Panthers,Houston Texans,2015-09-20,1:02PM,Carolina,/boxscores/201509200car.htm
2015,2,Cleveland Browns,Tennessee Titans,2015-09-20,1:02PM,Cleveland,/boxscores/201509200cle.htm
2015,2,Tampa Bay Buccaneers,New Orleans Saints,2015-09-20,1:02PM,New Orleans,/boxscores/201509200nor.htm
2015,2,Pittsburgh Steelers,San Francisco 49ers,2015-09-20,1:02PM,Pittsburgh,/boxscores/201509200pit.htm
2015,2,Cincinnati Bengals,San Diego Chargers,2015-09-20,1:03PM,Cincinnati,/boxscores/201509200cin.htm
2015,2,Minnesota Vikings,Detroit Lions,2015-09-20,1:03PM,Minnesota,/boxscores/201509200min.htm
2015,2,Washington Redskins,St. Louis Rams,2015-09-20,1:03PM,Washington,/boxscores/201509200was.htm
2015,2,Jacksonville Jaguars,Miami Dolphins,2015-09-20,4:05PM,Jacksonville,/boxscores/201509200jax.htm
2015,2,Oakland Raiders,Baltimore Ravens,2015-09-20,4:05PM,Oakland,/boxscores/201509200rai.htm
2015,2,Dallas Cowboys,Philadelphia Eagles,2015-09-20,4:25PM,Philadelphia,/boxscores/201509200phi.htm
2015,2,Green Bay Packers,Seattle Seahawks,2015-09-20,8:25PM,Green Bay,/boxscores/201509200gnb.htm
2015,2,New York Jets,Indianapolis Colts,2015-09-21,8:30PM,Indianapolis,/boxscores/201509210clt.htm
2015,3,New York Giants,Washington Redskins,2015-09-24,8:26PM,New York,/boxscores/201509240nyg.htm
2015,3,Pittsburgh Steelers,St. Louis Rams,2015-09-27,1:00PM,St. Louis,/boxscores/201509270ram.htm
2015,3,Cincinnati Bengals,Baltimore Ravens,2015-09-27,1:02PM,Baltimore,/boxscores/201509270rav.htm
2015,3,Oakland Raiders,Cleveland Browns,2015-09-27,1:02PM,Cleveland,/boxscores/201509270cle.htm
2015,3,Minnesota Vikings,San Diego Chargers,2015-09-27,1:02PM,Minnesota,/boxscores/201509270min.htm
2015,3,Atlanta Falcons,Dallas Cowboys,2015-09-27,1:03PM,Dallas,/boxscores/201509270dal.htm
2015,3,Carolina Panthers,New Orleans Saints,2015-09-27,1:03PM,Carolina,/boxscores/201509270car.htm
2015,3,Indianapolis Colts,Tennessee Titans,2015-09-27,1:03PM,Tennessee,/boxscores/201509270oti.htm
2015,3,Houston Texans,Tampa Bay Buccaneers,2015-09-27,1:03PM,Houston,/boxscores/201509270htx.htm
2015,3,Philadelphia Eagles,New York Jets,2015-09-27,1:03PM,New York,/boxscores/201509270nyj.htm
2015,3,New England Patriots,Jacksonville Jaguars,2015-09-27,1:06PM,New England,/boxscores/201509270nwe.htm
2015,3,Arizona Cardinals,San Francisco 49ers,2015-09-27,4:05PM,Arizona,/boxscores/201509270crd.htm
2015,3,Buffalo Bills,Miami Dolphins,2015-09-27,4:25PM,Miami,/boxscores/201509270mia.htm
2015,3,Seattle Seahawks,Chicago Bears,2015-09-27,4:26PM,Seattle,/boxscores/201509270sea.htm
