first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Jahmyr,Gibbs,RB,,16,2025-12-21,Sat-Sun,DET,PIT,-7.5,51.5,29.5,8500,12,27.9,25.0,23.5,24.8,2.92,,,Jahmyr Gibbs
Bijan,Robinson,RB,,16,2025-12-21,Sat-Sun,ATL,ARI,-2.5,48.5,25.5,8700,28,24.4,21.7,22.5,23.1,2.65,,,Bijan Robinson
Josh,Allen,QB,,16,2025-12-21,Sat-Sun,BUF,CLE,-10.5,41.5,26.0,7200,4,27.6,25.3,25.4,22.1,3.07,,,Josh Allen
Amon-Ra,St. Brown,WR,,16,2025-12-21,Sat-Sun,DET,PIT,-7.5,51.5,29.5,8400,25,19.7,19.0,20.5,21.7,2.59,,,Amon-Ra St. Brown
De'Von,Achane,RB,,16,2025-12-21,Sat-Sun,MIA,CIN,3.5,47.5,22.0,8800,32,25.3,22.7,21.6,21.7,2.47,,,De'Von Achane
Lamar,Jackson,QB,Q,16,2025-12-21,Sat-Sun,BAL,NE,-2.5,48.5,25.5,6600,17,12.2,16.9,18.1,20.5,3.11,,,Lamar Jackson
Jared,Goff,QB,,16,2025-12-21,Sat-Sun,DET,PIT,-7.5,51.5,29.5,6300,26,19.9,19.7,19.5,19.7,3.12,,,Jared Goff
Justin,Herbert,QB,,16,2025-12-21,Sat-Sun,LAC,DAL,2.5,49.5,23.5,6000,32,11.7,18.1,18.9,19.6,3.27,,,Justin Herbert
Bo,Nix,QB,,16,2025-12-21,Sat-Sun,DEN,JAX,-3.5,46.5,25.0,6100,23,17.8,20.4,19.9,19.5,3.2,,,Bo Nix
Joe,Burrow,QB,,16,2025-12-21,Sat-Sun,CIN,MIA,-3.5,47.5,25.5,6500,21,13.6,19.3,13.6,19.5,3.0,,,Joe Burrow
Drake,Maye,QB,,16,2025-12-21,Sat-Sun,NE,BAL,2.5,48.5,23.0,6800,16,18.7,20.2,20.7,19.3,2.84,,,Drake Maye
James,Cook III,RB,,16,2025-12-21,Sat-Sun,BUF,CLE,-10.5,41.5,26.0,7700,14,22.8,19.3,20.9,19.3,2.51,,,James Cook III
Ja'Marr,Chase,WR,,16,2025-12-21,Sat-Sun,CIN,MIA,-3.5,47.5,25.5,8600,7,16.7,21.0,20.3,19.2,2.23,,,Ja'Marr Chase
Dak,Prescott,QB,,16,2025-12-21,Sat-Sun,DAL,LAC,-2.5,49.5,26.0,6700,2,23.3,21.5,21.2,19.1,2.85,,,Dak Prescott
Jacoby,Brissett,QB,,16,2025-12-21,Sat-Sun,ARI,ATL,2.5,48.5,23.0,5300,19,22.8,20.6,18.7,19.0,3.58,,,Jacoby Brissett
Trey,McBride,TE,,16,2025-12-21,Sat-Sun,ARI,ATL,2.5,48.5,23.0,7600,2,24.2,22.8,20.1,18.3,2.41,,,Trey McBride
C.J.,Stroud,QB,,16,2025-12-21,Sat-Sun,HOU,LV,-14.5,37.5,26.0,5500,18,15.2,16.5,15.9,18.3,3.33,,,C.J. Stroud
Baker,Mayfield,QB,,16,2025-12-21,Sat-Sun,TB,CAR,-2.5,45.5,24.0,5700,8,14.2,16.1,17.2,18.2,3.2,,,Baker Mayfield
Jaxson,Dart,QB,,16,2025-12-21,Sat-Sun,NYG,MIN,2.5,43.5,20.5,5800,3,22.1,20.2,18.4,18.1,3.13,,,Jaxson Dart
Tyler,Shough,QB,,16,2025-12-21,Sat-Sun,NO,NYJ,-6.5,40.5,23.5,5400,22,17.7,13.0,13.0,17.8,3.3,,,Tyler Shough
Trevor,Lawrence,QB,,16,2025-12-21,Sat-Sun,JAX,DEN,3.5,46.5,21.5,5900,6,25.1,22.5,19.8,17.6,2.98,,,Trevor Lawrence
CeeDee,Lamb,WR,Q,16,2025-12-21,Sat-Sun,DAL,LAC,-2.5,49.5,26.0,7800,1,19.5,19.7,19.7,17.2,2.2,,,CeeDee Lamb
Jordan,Love,QB,,16,2025-12-20,Sat-Sun,GB,CHI,1.5,46.5,22.5,5700,24,17.3,16.6,17.5,17.0,2.99,,,Jordan Love
Drake,London,WR,Q,16,2025-12-21,Sat-Sun,ATL,ARI,-2.5,48.5,25.5,7000,16,26.8,23.7,21.4,16.8,2.4,,,Drake London
Caleb,Williams,QB,,16,2025-12-20,Sat-Sun,CHI,GB,-1.5,46.5,24.0,5500,11,15.7,18.1,18.9,16.8,3.05,,,Caleb Williams
J.J.,McCarthy,QB,,16,2025-12-21,Sat-Sun,MIN,NYG,-2.5,43.5,23.0,4900,28,14.4,15.1,15.1,16.8,3.43,,,J.J. McCarthy
Aaron,Rodgers,QB,,16,2025-12-21,Sat-Sun,PIT,DET,7.5,51.5,22.0,5000,27,12.0,14.4,15.0,16.1,3.22,,,Aaron Rodgers
Derrick,Henry,RB,,16,2025-12-21,Sat-Sun,BAL,NE,-2.5,48.5,25.5,7100,6,17.5,16.1,15.4,16.0,2.26,,,Derrick Henry
Jameson,Williams,WR,,16,2025-12-21,Sat-Sun,DET,PIT,-7.5,51.5,29.5,6400,25,19.3,16.6,15.5,15.9,2.48,,,Jameson Williams
Nico,Collins,WR,,16,2025-12-21,Sat-Sun,HOU,LV,-14.5,37.5,26.0,7500,26,19.4,17.2,16.7,15.8,2.11,,,Nico Collins
Javonte,Williams,RB,Q,16,2025-12-21,Sat-Sun,DAL,LAC,-2.5,49.5,26.0,6400,11,13.8,15.6,16.7,15.7,2.45,,,Javonte Williams
RJ,Harvey,RB,,16,2025-12-21,Sat-Sun,DEN,JAX,-3.5,46.5,25.0,6200,4,13.3,12.7,11.6,15.6,2.52,,,RJ Harvey
Chris,Olave,WR,,16,2025-12-21,Sat-Sun,NO,NYJ,-6.5,40.5,23.5,6500,11,16.3,16.0,15.0,15.6,2.39,,,Chris Olave
Josh,Jacobs,RB,Q,16,2025-12-20,Sat-Sun,GB,CHI,1.5,46.5,22.5,7300,13,15.0,19.1,17.9,15.5,2.12,,,Josh Jacobs
Chase,Brown,RB,,16,2025-12-21,Sat-Sun,CIN,MIA,-3.5,47.5,25.5,6900,19,17.9,17.0,14.8,15.4,2.24,,,Chase Brown
Gardner,Minshew II,QB,,16,2025-12-21,Sat-Sun,KC,TEN,-3.5,37.5,20.5,4500,25,6.2,6.8,-0.2,15.4,3.43,,,Gardner Minshew II
Kirk,Cousins,QB,,16,2025-12-21,Sat-Sun,ATL,ARI,-2.5,48.5,25.5,4800,14,13.1,10.2,10.5,15.3,3.18,,,Kirk Cousins
Zay,Flowers,WR,,16,2025-12-21,Sat-Sun,BAL,NE,-2.5,48.5,25.5,6000,15,12.8,12.4,13.4,15.0,2.5,,,Zay Flowers
Bryce,Young,QB,,16,2025-12-21,Sat-Sun,CAR,TB,2.5,45.5,21.5,5100,31,17.3,14.5,14.9,15.0,2.95,,,Bryce Young
