first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Brandin,Cooks,WR,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,3200,6,3.1,3.8,3.8,4.1,1.27,,,Brandin Cooks
Scott,Matlock,RB,,14,12/8/25,Thu-Mon,LAC,PHI,2.5,41.5,19.5,4000,25,1.7,1.7,4.2,4.1,1.02,,,Scott Matlock
Taysom,Hill,TE,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,2700,15,2.1,7.6,2.5,4.1,1.53,,,Taysom Hill
Matthew,Golden,WR,Q,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,3900,25,6.1,6.3,6.3,4,1.03,,,Matthew Golden
Jalen,Nailor,WR,,14,12/7/25,Thu-Mon,MIN,WAS,-1.5,42.5,22,3000,30,6.3,6,5.9,4,1.34,,,Jalen Nailor
Davis,Allen,TE,,14,12/7/25,Thu-Mon,LAR,ARI,-8.5,47.5,28,2600,23,4.8,4,4.4,3.9,1.49,,,Davis Allen
Jerome,Ford,RB,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,4000,28,1.1,2.9,3.4,3.9,0.97,,,Jerome Ford
Cole,Kmet,TE,,14,12/7/25,Thu-Mon,CHI,GB,6.5,44.5,19,2700,12,5.4,5.1,5,3.9,1.46,,,Cole Kmet
Jacory,Croskey-Merritt,RB,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,4700,14,3.8,7.6,8.2,3.9,0.83,,,Jacory Croskey-Merritt
Sterling,Shepard,WR,,14,12/7/25,Thu-Mon,TB,NO,-8.5,41.5,25,3600,13,4.7,6.7,6.8,3.9,1.09,,,Sterling Shepard
Amar,Johnson,RB,,14,12/8/25,Thu-Mon,LAC,PHI,2.5,41.5,19.5,4000,25,0.8,0.8,0.8,3.8,0.94,,,Amar Johnson
Isaiah,Davis,RB,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,4000,20,4.4,4.1,3.9,3.8,0.95,,,Isaiah Davis
Ollie,Gordon II,RB,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,4300,27,5.3,4.1,3.7,3.8,0.89,,,Ollie Gordon II
Bengals,,DST,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,2100,10,5,3.3,3.8,3.7,1.78,,,Bengals 
Noah,Fant,TE,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,3000,1,5.7,7.5,7.5,3.7,1.23,,,Noah Fant
Cowboys,,DST,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,2400,3,5.4,5.3,4.6,3.7,1.54,,,Cowboys 
Luke,Musgrave,TE,,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,2600,21,3.5,2.9,2.9,3.7,1.42,,,Luke Musgrave
Carson,Steele,RB,,14,12/7/25,Thu-Mon,KC,HOU,-3.5,41.5,22.5,4000,10,0.9,0.7,,3.7,0.93,,,Carson Steele
Greg,Dulcich,TE,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,2500,22,4.3,2.1,5.3,3.7,1.47,,,Greg Dulcich
Ryan,Flournoy,WR,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,3300,27,4.9,6.4,6.8,3.6,1.08,,,Ryan Flournoy
Roman,Wilson,WR,,14,12/7/25,Thu-Mon,PIT,BAL,5.5,42.5,18.5,3000,24,2.9,4,4.4,3.5,1.18,,,Roman Wilson
British,Brooks,RB,,14,12/7/25,Thu-Mon,HOU,KC,3.5,41.5,19,4000,6,0.3,0.2,0.8,3.5,0.89,,,British Brooks
Trayveon,Williams,RB,,14,12/8/25,Thu-Mon,LAC,PHI,2.5,41.5,19.5,4000,25,0.2,0.1,0.9,3.5,0.88,,,Trayveon Williams
Sean,Tucker,RB,,14,12/7/25,Thu-Mon,TB,NO,-8.5,41.5,25,4500,17,11.8,7.2,8,3.4,0.77,,,Sean Tucker
David,Sills V,WR,,14,12/7/25,Thu-Mon,ATL,SEA,6.5,44.5,19,3800,9,4.2,2.7,3.8,3.1,0.81,,,David Sills V
