first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Jaylin,Noel,WR,,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,3500,30,3.0,4.8,4.3,2.4,0.69,,Jaylin Noel
Mason,Kinsey,WR,,18,2026-01-04,Sat-Sun,TEN,JAX,12.5,47.5,17.5,3000,21,1.2,0.8,2.4,2.3,0.75,,Mason Kinsey
Josh,Oliver,TE,,18,2026-01-04,Sat-Sun,MIN,GB,-7.5,35.5,21.5,3100,11,5.0,4.8,4.8,2.3,0.73,,Josh Oliver
Cade,Stover,TE,,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,2500,27,3.6,3.9,3.6,2.2,0.88,,Cade Stover
Raheem,Mostert,RB,Q,18,2026-01-04,Sat-Sun,LV,KC,5.5,36.5,15.5,4400,8,2.0,1.9,2.5,2.2,0.5,,Raheem Mostert
Jalen,Tolbert,WR,,18,2026-01-04,Sat-Sun,DAL,NYG,-3.5,51.5,27.5,3300,26,3.4,5.3,4.4,2.2,0.66,,Jalen Tolbert
Kendrick,Bourne,WR,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,3800,11,3.5,8.1,7.9,2.2,0.57,,Kendrick Bourne
Dante,Pettis,WR,,18,2026-01-04,Sat-Sun,NO,ATL,3.5,45.5,21.0,3100,20,4.6,3.4,1.2,2.1,0.69,,Dante Pettis
Corey,Kiner,RB,,18,2026-01-04,Sat-Sun,ARI,LAR,7.5,45.5,19.0,4000,5,2.2,2.2,2.2,2.1,0.52,,Corey Kiner
Kylen,Granson,TE,,18,2026-01-04,Sat-Sun,PHI,WAS,-4.5,38.5,21.5,2500,26,2.4,2.1,1.3,2.1,0.83,,Kylen Granson
Dareke,Young,WR,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,3000,19,1.4,0.7,3.4,2.1,0.71,,Dareke Young
Tutu,Atwell,WR,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,3500,14,5.4,4.0,4.7,2.0,0.58,,Tutu Atwell
Dont'e,Thornton Jr.,WR,,18,2026-01-04,Sat-Sun,LV,KC,5.5,36.5,15.5,3400,13,1.2,2.3,2.3,2.0,0.6,,Dont'e Thornton Jr.
Charlie,Woerner,TE,,18,2026-01-04,Sat-Sun,ATL,NO,-3.5,45.5,24.5,2500,10,2.5,1.7,2.1,1.9,0.74,,Charlie Woerner
David,Njoku,TE,Q,18,2026-01-04,Sat-Sun,CLE,CIN,7.5,44.5,18.5,3000,32,7.0,8.0,7.9,1.9,0.63,,David Njoku
Gage,Larvadain,WR,,18,2026-01-04,Sat-Sun,CLE,CIN,7.5,44.5,18.5,3000,4,1.8,1.9,1.9,1.9,0.63,,Gage Larvadain
