PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Caleb Williams,QB,CHI,DET,383,48.5,9.5,19.5,5300,15.54,2.9,32.1,4,0,4,6.8
Cooper Rush,QB,DAL,NYG,-181,37.5,-3.5,20.5,4800,13.82,2.9,31.7,3.1,0,3.1,7.3
Drew Lock,QB,NYG,DAL,149,37.5,3.5,17,4500,13.21,2.9,32.4,2.7,0,2.7,7.8
Jordan Love,QB,GB,MIA,-177,48,-3.5,25.75,6300,18.46,2.9,31.9,2.6,0,2.6,5.5
Tua Tagovailoa,QB,MIA,GB,147,48,3.5,22.25,6000,16.52,2.8,30.8,1.9,0,1.9,5.5
Jonnu Smith,TE,MIA,GB,147,48,3.5,22.25,4300,11.76,2.7,0,0,6.6,6.6,1.5
Luke Schoonmaker,TE,DAL,NYG,-181,37.5,-3.5,20.5,3400,8.87,2.6,0,0,4.8,4.8,1.4
Rico Dowdle,RB,DAL,NYG,-181,37.5,-3.5,20.5,5500,13.62,2.5,0,15.1,3.7,18.8,3.4
Dallas Cowboys,D,DAL,NYG,-181,37.5,-3.5,20.5,3100,7.7,2.5,0,0,0,0,0
Jared Goff,QB,DET,CHI,-520,48.5,-9.5,29,6500,15.91,2.5,28.5,1.6,0,1.6,4.6
DJ Moore,WR,CHI,DET,383,48.5,9.5,19.5,5600,13.49,2.4,0,0.2,7.7,7.9,1.4
Tucker Kraft,TE,GB,MIA,-177,48,-3.5,25.75,3700,8.77,2.4,0,0,4.6,4.6,1.2
Keenan Allen,WR,CHI,DET,383,48.5,9.5,19.5,5100,12.16,2.4,0,0.1,7.3,7.4,1.5
Theo Johnson,TE,NYG,DAL,149,37.5,3.5,17,2900,6.89,2.4,0,0,4.4,4.4,1.5
Cole Kmet,TE,CHI,DET,383,48.5,9.5,19.5,3600,8.17,2.3,0,0,4.9,4.9,1.4
Tyrone Tracy,RB,NYG,DAL,149,37.5,3.5,17,5800,13.4,2.3,0,16.2,3.1,19.3,3.3
Sam LaPorta,TE,DET,CHI,-520,48.5,-9.5,29,4100,9.57,2.3,0,0,4.7,4.7,1.1
Josh Jacobs,RB,GB,MIA,-177,48,-3.5,25.75,7000,16.22,2.3,0,16.2,3.5,19.7,2.8
De'Von Achane,RB,MIA,GB,147,48,3.5,22.25,7700,16.93,2.2,0,12.2,5.8,18,2.3
Jahmyr Gibbs,RB,DET,CHI,-520,48.5,-9.5,29,7500,16.68,2.2,0,12.1,4.3,16.4,2.2
CeeDee Lamb,WR,DAL,NYG,-181,37.5,-3.5,20.5,7300,16.12,2.2,0,0.9,9.9,10.8,1.5
New York Giants,D,NYG,DAL,149,37.5,3.5,17,2800,6.02,2.2,0,0,0,0,0
Detroit Lions,D,DET,CHI,-520,48.5,-9.5,29,3500,7.47,2.1,0,0,0,0,0
Amon-Ra St. Brown,WR,DET,CHI,-520,48.5,-9.5,29,8000,16.47,2.1,0,0.4,8.2,8.6,1.1
Rome Odunze,WR,CHI,DET,383,48.5,9.5,19.5,5000,10.63,2.1,0,0.1,6.3,6.4,1.3
David Montgomery,RB,DET,CHI,-520,48.5,-9.5,29,6500,13.42,2.1,0,13.4,1.5,14.9,2.3
Jayden Reed,WR,GB,MIA,-177,48,-3.5,25.75,5700,12.14,2.1,0,1.1,5.5,6.6,1.2
