PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Ben Sinnott,TE,WAS,NYG,-189,44.00,-3.50,23.75,2500,1.10,0.4,0.0,0.0,0.6,0.6,0.2
Jalin Hyatt,WR,NYG,WAS,156,44.00,3.50,20.25,3300,1.41,0.4,0.0,0.0,0.9,0.9,0.3
Will Mallory,TE,IND,MIN,194,46.50,5.50,20.50,2500,1.04,0.4,0.0,0.0,0.6,0.6,0.2
Daniel Bellinger,TE,NYG,WAS,156,44.00,3.50,20.25,2500,1.10,0.4,0.0,0.0,0.7,0.7,0.3
D'Onta Foreman,RB,CLE,LAC,103,42.50,1.50,20.50,4300,1.66,0.4,0.0,1.8,0.5,2.3,0.5
Pierre Strong,RB,CLE,LAC,103,42.50,1.50,20.50,4500,1.79,0.4,0.0,0.8,1.0,1.8,0.4
Trey Sermon,RB,IND,MIN,194,46.50,5.50,20.50,4700,2.06,0.4,0.0,2.6,0.5,3.1,0.7
Ameer Abdullah,RB,LV,CIN,271,46.50,7.50,19.50,4200,1.64,0.4,0.0,1.0,1.0,2.0,0.5
Derius Davis,WR,LAC,CLE,-124,42.50,-1.50,22.00,3000,1.28,0.4,0.0,0.1,0.5,0.6,0.2
Charlie Woerner,TE,ATL,DAL,-145,52.00,-2.50,27.25,2500,0.93,0.4,0.0,0.0,0.5,0.5,0.2
Xavier Gipson,WR,NYJ,HOU,-125,42.00,-1.50,21.75,3100,1.39,0.4,0.0,0.1,0.6,0.7,0.2
Payne Durham,TE,TB,KC,343,45.50,8.50,18.50,2500,0.99,0.4,0.0,0.0,0.6,0.6,0.2
Mike Williams,WR,NYJ,HOU,-125,42.00,-1.50,21.75,4100,1.48,0.4,0.0,0.0,0.8,0.8,0.2
DeAndre Carter,WR,CHI,ARI,100,44.50,1.00,21.75,3000,1.28,0.4,0.0,0.3,0.8,1.1,0.4
AJ Barner,TE,SEA,LAR,103,48.50,1.50,23.50,2600,0.84,0.3,0.0,0.0,0.5,0.5,0.2
Javon Baker,WR,NE,TEN,147,38.00,3.50,17.25,3000,0.75,0.3,0.0,0.0,0.5,0.5,0.2
Charlie Jones,WR,CIN,LV,-351,46.50,-7.50,27.00,3000,0.74,0.3,0.0,0.0,0.4,0.4,0.1
