PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Nyheim Hines,RB,CLE,LAC,103,42.50,1.50,20.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Owen Wright,RB,BAL,DEN,-451,45.50,-9.00,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,QB,LAR,SEA,-123,48.50,-1.50,25.00,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Travis Vokolek,TE,ARI,CHI,-115,44.50,-1.00,22.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,QB,WAS,NYG,-189,44.00,-3.50,23.75,5000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,RB,CHI,ARI,100,44.50,1.00,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Scales,TE,CHI,ARI,100,44.50,1.00,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Ko Kieft,TE,TB,KC,343,45.50,8.50,18.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young,WR,SEA,LAR,103,48.50,1.50,23.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Andy Dalton,QB,CAR,NO,287,43.50,7.50,18.00,4400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson,QB,MIA,BUF,221,49.50,6.00,21.75,4200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Malik Willis,QB,GB,DET,144,48.00,3.50,22.25,5500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Treylon Burks,WR,TEN,NE,-179,38.00,-3.50,20.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jelani Woods,TE,IND,MIN,194,46.50,5.50,20.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Odukoya,TE,TEN,NE,-179,38.00,-3.50,20.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jameson Williams,WR,DET,GB,-175,48.00,-3.50,25.75,5900,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Britain Covey,WR,PHI,JAX,-352,45.50,-7.50,26.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dameon Pierce,RB,HOU,NYJ,105,42.00,1.50,20.25,4700,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Isiah Pacheco,RB,KC,TB,-448,45.50,-8.50,27.00,6800,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Skyy Moore,WR,KC,TB,-448,45.50,-8.50,27.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nick Muse,TE,MIN,IND,-240,46.50,-5.50,26.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Conner,TE,MIA,BUF,221,49.50,6.00,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Avery Williams,RB,ATL,DAL,-145,52.00,-2.50,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
David Bell,WR,CLE,LAC,103,42.50,1.50,20.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nick Mullens,QB,MIN,IND,-240,46.50,-5.50,26.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Badie,RB,DEN,BAL,350,45.50,9.00,18.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
John FitzPatrick,TE,GB,DET,144,48.00,3.50,22.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Irvin Charles,WR,NYJ,HOU,-125,42.00,-1.50,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Rashid Shaheed,WR,NO,CAR,-368,43.50,-7.50,25.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Wilson,RB,MIA,BUF,221,49.50,6.00,21.75,4400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Ridder,QB,LV,CIN,271,46.50,7.50,19.50,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Pickett,QB,PHI,JAX,-352,45.50,-7.50,26.50,4800,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Cal Adomitis,TE,CIN,LV,-351,46.50,-7.50,27.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Richardson,QB,IND,MIN,194,46.50,5.50,20.50,5600,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,WR,DAL,ATL,121,52.00,2.50,24.75,5000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Sam Ehlinger,QB,IND,MIN,194,46.50,5.50,20.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah,TE,NYJ,HOU,-125,42.00,-1.50,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Fraboni,TE,DEN,BAL,350,45.50,9.00,18.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brevin Jordan,TE,HOU,NYJ,105,42.00,1.50,20.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Michael Mayer,TE,LV,CIN,271,46.50,7.50,19.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
John Samuel Shenker,TE,LV,CIN,271,46.50,7.50,19.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nate Adkins,TE,DEN,BAL,350,45.50,9.00,18.25,2600,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Davis,TE,GB,DET,144,48.00,3.50,22.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nico Collins,WR,HOU,NYJ,105,42.00,1.50,20.25,7900,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Davis Mills,QB,HOU,NYJ,105,42.00,1.50,20.25,4700,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,QB,WAS,NYG,-189,44.00,-3.50,23.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Julian Hill,TE,MIA,BUF,221,49.50,6.00,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Aidan O'Connell,QB,LV,CIN,271,46.50,7.50,19.50,4400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tanner McKee,QB,PHI,JAX,-352,45.50,-7.50,26.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brady Russell,TE,SEA,LAR,103,48.50,1.50,23.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Stetson Bennett,QB,LAR,SEA,-123,48.50,-1.50,25.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Teagan Quitoriano,TE,HOU,NYJ,105,42.00,1.50,20.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,QB,LAC,CLE,-124,42.50,-1.50,22.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Ott,TE,WAS,NYG,-189,44.00,-3.50,23.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Smith,WR,LAR,SEA,-123,48.50,-1.50,25.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dee Eskridge,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tommy DeVito,QB,NYG,WAS,156,44.00,3.50,20.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Hendon Hooker,QB,DET,GB,-175,48.00,-3.50,25.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,QB,BUF,MIA,-275,49.50,-6.00,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jody Fortson,TE,KC,TB,-448,45.50,-8.50,27.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jaelon Darden,WR,CLE,LAC,103,42.50,1.50,20.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Colton Dowell,WR,TEN,NE,-179,38.00,-3.50,20.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Trask,QB,TB,KC,343,45.50,8.50,18.50,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Chris Godwin,WR,TB,KC,343,45.50,8.50,18.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mike Evans,WR,TB,KC,343,45.50,8.50,18.50,7100,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Rush,QB,DAL,ATL,121,52.00,2.50,24.75,4300,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Miller,WR,TB,KC,343,45.50,8.50,18.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Ben Sims,TE,GB,DET,144,48.00,3.50,22.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,QB,BUF,MIA,-275,49.50,-6.00,27.75,5200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jake Haener,QB,NO,CAR,-368,43.50,-7.50,25.50,5100,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Alex Bachman,WR,LV,CIN,271,46.50,7.50,19.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice,RB,NO,CAR,-368,43.50,-7.50,25.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Zach Wood,TE,NO,CAR,-368,43.50,-7.50,25.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Luke Musgrave,TE,GB,DET,144,48.00,3.50,22.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Tune,QB,ARI,CHI,-115,44.50,-1.00,22.75,4600,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,WR,IND,MIN,194,46.50,5.50,20.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Allen Lazard,WR,NYJ,HOU,-125,42.00,-1.50,21.75,4800,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyson Bagent,QB,CHI,ARI,100,44.50,1.00,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mac Jones,QB,JAX,PHI,277,45.50,7.50,19.00,5100,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Robert Burns,RB,ATL,DAL,-145,52.00,-2.50,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
James Winchester,TE,KC,TB,-448,45.50,-8.50,27.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Christian Kirk,WR,JAX,PHI,277,45.50,7.50,19.00,5200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Grant DuBose,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Schwartz,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rypien,QB,MIN,IND,-240,46.50,-5.50,26.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
